,level_0,Unnamed: 0,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len,clean_sentence,clean_token,pred_token,prec,rec,enriched_prec,enriched_rec
0,176,176,378,013E Edward Farnham 1656 The Compleat Doctoress__32_MED.txt,20,"I answer ; sweet things applyed to the Matrix , in regard that they are hot , doe expell the winde , cut into the slow and tenacious phlegm , and afterwards purge it out : but stinking things applied to the Nose , consume the ascending vapours with their heat ; but you may still demand , if hot stinking things be good to break the winde , why may they not be laid to the Matrix , as well as sweet things ?",stinking hot stinking things things,Olfactive,Quality,85,answer sweet things applyed matrix regard hot doe expell winde cut slow tenacious phlegm afterwards purge stinking things applied nose consume ascending vapours heat may still demand hot stinking things good break winde may not laid matrix well sweet things,stinking hot stinking things things,answer sweet things applyed matrix regard hot doe expell winde cut slow tenacious phlegm afterwards purge stinking things applied nose consume ascending vapours heat may still demand hot stinking things good break winde may not laid matrix well sweet things stinking nose stinking,0.2,1.0,0.23255813953488372,1.0
1,329,329,768,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,38,"It follows , from these facts , that there are three distinct kinds of pulmonary fetor , namely , that of faces , that of ozaena , and that of gangrene ; and it remains to ascertain how each arises .",pulmonary of faces of ozaena of gangrene fetor,Olfactive,Quality,41,follows facts three distinct kinds pulmonary fetor namely faces ozaena gangrene remains ascertain arises,pulmonary faces ozaena gangrene fetor,pulmonary fetor fetor,1.0,0.4,1.0,0.4
2,536,536,1226,068E Alfred Swaine Taylor 1859 On Poisons__531_distribution_LAW.txt,2,"The evidence derivable from the taste and odour of this poison is , in some instances , of importance .",of this poison odour,Olfactive,Smell\_Source,20,evidence derivable taste odour poison instances importance,poison odour,odour odour,1.0,0.5,1.0,0.5
3,548,548,1248,072E Richard Middleton 1619 Goodnes the blessed mans badge__18_distribution_REL.txt,44,"And yet no dung stinks so much in our nostrels , as sinne doth in the nostrels of God .",so much dung sinne stinks doth,Olfactive,Quality,20,yet no dung stinks much nostrels sinne doth nostrels god,much dung sinne stinks doth,yet no dung stinks much nostrels sinne doth nostrels god,0.5,1.0,0.5,1.0
4,70,70,158,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,49,"Several of these , perhaps , did not amount to more than a mere whiff , just the suspicion of a something unpleasant , no more ( but no less ) disturbing than , say , one note a semitone flat in a major chord ; two or three of them , however , to the sensitive , thin-winged organ of an English school-ma ’ am , would have attained to the rank of a “ smell , ” a word on her lips as emphatic as an oath on yours or mine ; four of them , at the least , were plain stenches , and so beyond her vocabulary altogether ; and one was—well !",mere plain Several of these two or three of them four of them whiff smell stenches,Olfactive,Quality,117,several perhaps not amount mere whiff suspicion something unpleasant no no less disturbing say one note semitone flat major chord two three however sensitive thinwinged organ english schoolma ’ would attained rank “ smell ” word lips emphatic oath mine four least plain stenches beyond vocabulary altogether one was—well,mere plain several two three four whiff smell stenches,unpleasant no no less disturbing say one note semitone flat major chord two three however sensitive thinwinged organ english schoolma ’ would attained rank “ smell rank smell stenches stenches,0.11538461538461539,0.3333333333333333,0.2,0.4444444444444444
5,561,562,1280,077E Richard Braithwaite 1620 Essays upon the five senses_45_REL.txt,21,"Sweet-smelling perfume of selected vertues , pure streame of diuine graces , and amiable beauty neuer blemished ; no delight shall withhold me , no affection seduce me , no inordinate pleasure entice me , no sweet smell draw me ; I haue tyed my selfe to my spouse in all my Sences ; being He , that ministers refreshment to all my Sences .",sweet perfume of selected vertues Sweet-smelling smell,Olfactive,Quality,65,sweetsmelling perfume selected vertues pure streame diuine graces amiable beauty neuer blemished no delight shall withhold no affection seduce no inordinate pleasure entice no sweet smell draw haue tyed selfe spouse sences ministers refreshment sences,sweet perfume selected vertues sweetsmelling smell,perfume perfume smell,1.0,0.16666666666666666,1.0,0.3333333333333333
6,590,591,1354,083E Estelle D Buchanan 1913 Household bacteriology__75_distribution_HOUS.txt,2,"That organic nitrogenous compounds must be broken down in nature into ammonia and nitrates that they may serve as nutrients to vegetation , is evident .",organic nitrogenous compounds,Olfactive,Smell\_Source,26,organic nitrogenous compounds must broken nature ammonia nitrates may serve nutrients vegetation evident,organic nitrogenous compounds,organic nitrogenous compounds,1.0,1.0,1.0,1.0
7,81,81,185,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,69,"I may therefore , with justice , raise a song of praise to our fathers who have had our country thus swept and garnished , swept of noxious vapours and emanations , and garnished with the perfume of pure and fresh air , to the delight and invigoration of our souls .",vapours of pure and fresh air noxious emanations perfume,Olfactive,Odour\_Carrier,52,may therefore justice raise song praise fathers country thus swept garnished swept noxious vapours emanations garnished perfume pure fresh air delight invigoration souls,vapours pure fresh air noxious emanations perfume,noxious vapours perfume,1.0,0.2857142857142857,1.0,0.42857142857142855
8,316,316,738,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,22,"After the sputa has been exposed to the air for a while , however , it gives off an odour wholly different .",wholly different odour,Olfactive,Quality,23,sputa exposed air however gives odour wholly different,wholly different odour,sputa exposed air however gives odour odour,0.16666666666666666,0.3333333333333333,0.2857142857142857,0.3333333333333333
9,304,304,710,017E Henry Austin 1857 Report on the meanings of deodorizing and utilizing the sewage of towns__112_PUB.txt,7,"It is found that one ton of clay is sufficient to deodorize 600 tons of sewage as at present discharged at Ely ; but , as only a portion of the houses have waterclosets as yet , the liquid is comparatively weak .",one ton of clay deodorize,Olfactive,Smell\_Source,43,found one ton clay sufficient deodorize tons sewage present discharged ely only portion houses waterclosets yet liquid comparatively weak,one ton clay deodorize,deodorize tons sewage present discharged ely only portion houses waterclosets deodorize,0.1,0.25,0.18181818181818182,0.25
10,6,6,13,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,40,"I will not warrant the narration , because I know it is a case over-ruled in Aristotles philosophy , that smells nourish not ; but the application I can make good out of the Apostle , who calleth the Gospel and the Preachers thereof odorem vitae ad vitam , a savour ofelife unto life .",vitae ofelife smells odorem savour,Olfactive,Smell\_Source,55,not warrant narration because know case overruled aristotles philosophy smells nourish not application make good apostle calleth gospel preachers thereof odorem vitae ad vitam savour ofelife unto life,vitae ofelife smells odorem savour,not warrant narration because know case overruled aristotles philosophy smells nourish not application make good apostle calleth gospel preachers thereof odorem vitae ad vitam savour ofelife unto ofelife,0.21428571428571427,1.0,0.21428571428571427,1.0
11,423,423,946,053E Joseph Priestley 1775 Observations on different kinds of air__185_distribution_SCIE.txt,2,That the putrid effluvium will mix with water seems to be evident from the following experiment .,putrid effluvium,Olfactive,Quality,17,putrid effluvium mix water seems evident following experiment,putrid effluvium,putrid effluvium putrid effluvium,1.0,1.0,1.0,1.0
12,374,374,851,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,26,"A transparent limpid very volatile pale bluish-green liquid , with a strong penetrating agreeable camphoraceous odour , and a warm bitterish aromatic camphoraceous taste succeeded by a sensation of coldness in the mouth .",strong penetrating agreeable camphoraceous odour,Olfactive,Quality,34,transparent limpid volatile pale bluishgreen liquid strong penetrating agreeable camphoraceous odour warm bitterish aromatic camphoraceous taste succeeded sensation coldness mouth,strong penetrating agreeable camphoraceous odour,transparent limpid volatile pale bluishgreen liquid strong penetrating agreeable camphoraceous odour warm bitterish aromatic camphoraceous taste succeeded sensation coldness mouth strong odour aromatic,0.3,1.0,0.34782608695652173,1.0
13,429,429,962,054E Oliver Goldsmith 1774 An history of the earth and animated nature__193_distribution_SCIE.txt,6,"This the ancients called Propolis : it will grow considerably hard in June ; though it will in some measure soften by heat ; and is often found different in consistence , colour and smell .",Propolis smell,Olfactive,Smell\_Source,36,ancients called propolis grow considerably hard june though measure soften heat often found different consistence colour smell,propolis smell,ancients called propolis grow considerably hard june though measure soften heat often found different consistence colour smell smell,0.11764705882352941,1.0,0.16666666666666666,1.0
14,537,537,1228,068E Alfred Swaine Taylor 1859 On Poisons__531_distribution_LAW.txt,20,Two persons could not perceive any odour in six ounces of the warm fluid freshly drawn from the stomach by the pump .,in six ounces of the warm fluid odour,Olfactive,Odour\_Carrier,23,two persons could not perceive odour six ounces warm fluid freshly drawn stomach pump,six ounces warm fluid odour,odour odour,1.0,0.2,1.0,0.2
15,312,312,728,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,16,"In the last group of cases I have endeavoured to show that the peculiar fetor is probably similar in origin to ozaena ; but it is not like that odour in all cases ; nor will the explanation apply to the fetor of acute and chronic bronchitis , or of bronchorrhoea , or broncho-pneumonia , for tliere is no proof of a rodent ulcerous cavity in these .",is probably similar in origin to ozaena that peculiar of acute and chronic bronchitis of bronchorrhoea broncho-pneumonia fetor odour fetor,Olfactive,Evoked\_Odorant,68,last group cases endeavoured show peculiar fetor probably similar origin ozaena not like odour cases nor explanation apply fetor acute chronic bronchitis bronchorrhoea bronchopneumonia tliere no proof rodent ulcerous cavity,probably similar origin ozaena peculiar acute chronic bronchitis bronchorrhoea bronchopneumonia fetor odour fetor,peculiar fetor fetor odour fetor,1.0,0.23076923076923078,1.0,0.3076923076923077
16,238,238,549,015E 1839 Papers relating to the fetid irrigations around the city of Edinburgh__165_PUB.txt,10,"The windows on the side of the quadrangle of the Palace of Holy rood contiguous to the Foul Burn and irrigated lands , are regularly closed whenever there is the slightest breath of wind from that quarter , to prevent the apartments from being filled with the effluvium .",Burn Foul effluvium,Olfactive,Smell\_Source,49,windows side quadrangle palace holy rood contiguous foul burn irrigated lands regularly closed whenever slightest breath wind quarter prevent apartments filled effluvium,burn foul effluvium,foul burn irrigated lands regularly closed whenever slightest breath wind quarter prevent apartments filled effluvium foul effluvium,0.2,1.0,0.29411764705882354,1.0
17,559,560,1276,077E Richard Braithwaite 1620 Essays upon the five senses_45_REL.txt,15,"There is no Pomander to smell at , like the oyntment of my Sauiour : he is all sweet , all comfort , all delight ; sweet in his mercy , comfortable in his promise , and delightfull in his presence ; in his mercy a father , in his comfort a redeemer , and in his delight a replenisher ; from his mercy and compassion is deriued abundantly fulnes of consolation , from his comfort or promise , an assured expectation , and from his delight , of himselfe a plenarie possession .",Pomander smell,Olfactive,Smell\_Source,94,no pomander smell like oyntment sauiour sweet comfort delight sweet mercy comfortable promise delightfull presence mercy father comfort redeemer delight replenisher mercy compassion deriued abundantly fulnes consolation comfort promise assured expectation delight himselfe plenarie possession,pomander smell,pomander smell smell,1.0,1.0,1.0,1.0
18,432,432,968,055E William Babington 1811 A syllabus of a course of lectures__51_distribution_SCIE.txt,4,"In this state heavier than Atmospherical Air ; 100 cubic inches at mean pressure and temperture , weighing 39 grains ; of a pungent odour ; irrespirable ; destructive to Flame , imparting to it under extinction a bright green colour ; inflames the skin without discolouring or corroding it",pungent odour,Olfactive,Quality,50,state heavier atmospherical air cubic inches mean pressure temperture weighing grains pungent odour irrespirable destructive flame imparting extinction bright green colour inflames skin without discolouring corroding,pungent odour,odour pungent odour,1.0,0.5,1.0,1.0
19,286,286,672,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,50,"It is an odor which seems to occupy an intermediate place between the natural body odors and the artificial perfumes for which it sometimes serves as a basis ; possibly it is to this fact that its occasional sexual influence is owing , for , as Ave have already seen , there is a tendency for sexual allurement to attach to odors which are not the specific personal body odors but yet are related to them .",natural body artificial specific personal body It odor odors perfumes odors odors,Olfactive,Quality,77,odor seems occupy intermediate place natural body odors artificial perfumes sometimes serves basis possibly fact occasional sexual influence owing ave already seen tendency sexual allurement attach odors not specific personal body odors yet related,natural body artificial specific personal body odor odors perfumes odors odors,odors odor,1.0,0.2727272727272727,1.0,0.36363636363636365
20,426,426,953,053E Joseph Priestley 1775 Observations on different kinds of air__185_distribution_SCIE.txt,6,"If the water in which the mouse was immersed , and which is saturated with the putrid air , be changed , the greater part of the putrid air , will , in a day or two , be absorbed , though the mouse continues to yield the putrid effluvium as before ; for as soon as this fresh water becomes saturated with it , it begins to be offensive to the smell , and the quantity of the putrid air upon its surface increases as before .",the water air air putrid putrid offensive putrid air the mouse it putrid effluvium smell,Olfactive,Odour\_Carrier,88,water mouse immersed saturated putrid air changed greater part putrid air day two absorbed though mouse continues yield putrid effluvium soon fresh water becomes saturated begins offensive smell quantity putrid air upon surface increases,water air air putrid putrid offensive putrid air mouse putrid effluvium smell,putrid air changed greater part putrid air day two absorbed though mouse continues yield putrid effluvium soon fresh water becomes saturated begins offensive smell putrid putrid putrid effluvium offensive smell putrid,0.4166666666666667,1.0,0.5483870967741935,1.0
21,599,600,1373,085E Gervase Markham 1631 A new orchard__20_distribution_HOUS.txt,7,"Their vse is much in ornament , and conforting the spirits , by the sence of smelling .",Their smelling,Olfactive,Smell\_Source,18,vse much ornament conforting spirits sence smelling,smelling,smelling smelling,1.0,1.0,1.0,1.0
22,361,361,834,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,105,"Pale yellow , with a very fragrant odour and a warm bitterish aromatic taste .",very fragrant odour,Olfactive,Quality,15,pale yellow fragrant odour warm bitterish aromatic taste,fragrant odour,fragrant odour fragrant odour aromatic,1.0,1.0,0.8,1.0
23,73,73,166,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,53,"Their olfactory sense compared with mine must have been a stupid thing , dense to begin with , and cudgelled by use and wont into blank insensibility .",sense olfactory,Olfactive,Smell\_Source,28,olfactory sense compared mine must stupid thing dense begin cudgelled use wont blank insensibility,sense olfactory,olfactory olfactory,1.0,0.5,1.0,0.5
24,39,39,88,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,299,"A statement was made at the last meeting of this Board , that foul smells , injurious to the health of the neighbours , were given out from the premises 47 and 48 , Lower Queen-street , and that 26 after rain , there existsd in the back yards , pools of stagnant water .",foul pools of stagnant water smells,Olfactive,Quality,55,statement made last meeting board foul smells injurious health neighbours given premises lower queenstreet rain existsd back yards pools stagnant water,foul pools stagnant water smells,foul smells foul,1.0,0.4,1.0,0.4
25,155,155,330,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,19,"I willingly yeeld to them , that stinke or strong smell doth argue putrefaction in such vrines : but of which parts shall this putrefaction be ?",stinke strong putrefaction in such vrines smell,Olfactive,Quality,27,willingly yeeld stinke strong smell doth argue putrefaction vrines parts shall putrefaction,stinke strong putrefaction vrines smell,strong smell strong smell,1.0,0.4,1.0,0.4
26,218,218,489,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,51,"The Flowers of Valerian are very strong , and offensive at first getting ; after a little drying , they are Aromatick : So in the Preparations of Musk and Civet , if in a great quantity , or while fresh , they stink ; afterwards , in a small quantity , they are more grateful : So the Leaves of Coriander stink ; but the Seed is Aromatick .",very strong offensive Aromatick The Flowers of Valerian they of Musk Civet they they the Leaves of Coriander the Seed Aromatick stink more grateful stink,Olfactive,Quality,70,flowers valerian strong offensive first getting little drying aromatick preparations musk civet great quantity fresh stink afterwards small quantity grateful leaves coriander stink seed aromatick,strong offensive aromatick flowers valerian musk civet leaves coriander seed aromatick stink grateful stink,flowers valerian strong offensive musk civet stink stink,1.0,0.14285714285714285,1.0,0.5714285714285714
27,370,370,846,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,133,"Pale yellow or greenish-yellow , with a very faint agreeable odour and a bland oleaginous taste ; congeals partially at about Fahr . ( 2.2 ° C ) .",very faint agreeable odour,Olfactive,Quality,29,pale yellow greenishyellow faint agreeable odour bland oleaginous taste congeals partially fahr ° c,faint agreeable odour,faint agreeable odour odour,1.0,1.0,1.0,1.0
28,210,210,469,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,44,"Putrefaction concurrs to produce these Fetors , by Separation of a Volatile Oyl and Salt , from the Acids and Earthy Parts of the Plants : So Spirit of Soot has an Oyly Salt ; and the Fetid Oyly Salt is easily separated from rine and Blood , after Putrefaction .",Fetid Putrefaction Oyly Salt Fetors,Olfactive,Quality,51,putrefaction concurrs produce fetors separation volatile oyl salt acids earthy parts plants spirit soot oyly salt fetid oyly salt easily separated rine blood putrefaction,fetid putrefaction oyly salt fetors,putrefaction fetid fetors,1.0,0.2,1.0,0.6
29,235,235,539,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,82,"A slimy Mucilage attends Opiates , which outwardly has a good effect to temper Heat in Inflammations ; whilst the Effluviums that are Narcotick , abate the Agitation of Spirits .",Narcotick Opiates Effluviums,Olfactive,Quality,31,slimy mucilage attends opiates outwardly good effect temper heat inflammations whilst effluviums narcotick abate agitation spirits,narcotick opiates effluviums,slimy mucilage,0.0,0.0,0.0,0.0
