,phrases,identified_terms,positive_negative,positive_terms
0,The aroma of fresh-baked bread lingered warmly in the air.\,"['aroma', ‘bread’, ‘air’]",1.0,
1,"Wet earth after rain released its deep, musky perfume.\","['Wet', 'earth', 'rain', 'perfume.\\']",1.0,
2,"Jasmine's sweet, intoxicating fragrance drifted through the moonlit garden.\","['fragrance', 'garden.\\']",1.0,
3,"Burning wood filled the cabin with a smoky, rustic scent.\","['Burning', 'wood', 'cabin', 'smoky,', 'rustic', 'scent.\\']",1.0,
4,Sharp vinegar notes wafted up from the open jar.\,['vinegar'],1.0,
5,A faint metallic tang accompanied the dusty antique workshop smell.\,"['dusty', 'workshop', 'smell.\\']",1.0,
6,"The crisp, clean scent of pine trees refreshed my lungs.\","['scent', 'pine', 'trees']",1.0,
7,"Sun-heated lavender fields exuded a calming, floral aroma.\","['Sun-heated', 'lavender', 'fields', 'floral', 'aroma.\\']",1.0,
8,Warm vanilla from the candle softened the room's atmosphere.\,"['vanilla', 'candle']",1.0,
9,"The sea breeze carried salty, briny notes of seaweed.\","['sea', 'salty,', 'briny', 'seaweed.\\']",1.0,
10,Diesel fumes clung to the busy street like an unwelcome guest.\,"['Diesel', 'fumes', 'street']",1.0,
11,An acrid scent of burnt toast lingered unpleasantly in the air.\,"['acrid', 'scent', 'burnt', 'toast']",1.0,
12,Delicate hints of citrus danced from the freshly peeled orange.\,"['citrus', 'freshly', 'peeled', 'orange.\\']",1.0,
13,Sweet caramelized sugar drifted up from the carnival popcorn stand.\,"['Sweet', 'caramelized', 'sugar', 'carnival', 'popcorn', 'stand.\\']",1.0,
14,A subtle herbal scent accompanied the steaming cup of green tea.\,"['herbal', 'scent', 'cup', 'green', 'tea.\\']",1.0,
15,Damp wool carried a musty odor after the rainy trek.\,"['Damp', 'wool', 'musty', 'odor', 'rainy']",1.0,
16,The pungent tang of garlic filled the bustling kitchen.\,"['pungent', 'tang', 'garlic', 'kitchen.\\']",1.0,
17,"Crushed eucalyptus leaves released a sharp, invigorating menthol aroma.\","['Crushed', 'eucalyptus', 'leaves', 'menthol', 'aroma.\\']",1.0,
