,clean_sentence,clean_token,ref_type,original_ref_type
0,fearless diver plumb unexplored reef gleam tropical wave,diver reef wave,Olfactive,Olfactive
1,luminous beetle dance gracefully quiet garden pond,garden pond,Olfactive,Olfactive
2,jubilant puppy chase butterfly flower backyard fence,puppy flower backyard,Olfactive,Olfactive
3,cold ocean current guide iceberg distant northern shipping lane,ocean iceberg,Olfactive,Olfactive
4,perch confidently cedar branch late spring,cedar branch,Olfactive,Olfactive
5,unexpected meteor shower illuminate farmland vast midnight sky,farmland,Olfactive,Olfactive
6,kayaker navigate choppy rapid jagged cliff low hang storm cloud,kayaker rapid,Olfactive,Olfactive
7,thick vine cling persistently crack statue overgrown courtyard,vine overgrown courtyard,Olfactive,Olfactive
8,tower sunflower sway gently bright ray invite busy honeybee,sunflower,Olfactive,Olfactive
9,adventurous hiker chart hide waterfall dense unexplored jungle interior,hiker waterfall,Olfactive,Olfactive
10,surveyor map treacherous pass steep ridge overlook valley,steep ridgessurveyor,Olfactive,Olfactive
11,cat lounge contentedly unwarmed windowsill long peaceful afternoon indoor,cat,Olfactive,Olfactive
12,secret passage lead visitor century old catacomb campus ground,visitorscatacomb,Olfactive,Olfactive
13,gradually cover abandon wall reclaim crumble brick hesitation,ivy,Olfactive,Olfactive
14,splendid firework explode overhead paint streak star fill summer sky,firework,Olfactive,Olfactive
15,tall oak tree shelter small creature seek refuge midday heat,soak tree small creature,Olfactive,Olfactive
16,wildlife photographer crawl cautiously bush capture breathtaking safari snapshot today,bush,Olfactive,Olfactive
17,fluttering kite dot sky weave pattern sprawling beach,beach,Olfactive,Olfactive
18,friend recount humorous story glow ember riverside campfire,campfire,Olfactive,Olfactive
19,solitary monk meditate quietly whispering pine steep cliff,monkpine steep cliff,Olfactive,Olfactive
20,rapid drummer synchronize beat energize dancer crowded carnival procession downtown,crowded carnival procession dancer,Olfactive,Olfactive
21,restless horse gallop freely mist shroud plain early dawn,horse mist shroud plain,Olfactive,Olfactive
22,rise tide challenge swimmer compete demand championship race,rise tide,Olfactive,Olfactive
23,harvest festivity united farmer showcase produce lively weekly market gathering,harvest festivity farmersproduce market gathering,Olfactive,Olfactive
