,normalized_text,text,contains_ref
0,aroma fresh baked bread linger warmly air,aroma fresh baked bread linger warmly air,True
1,wet earth rain release deep musky perfume,wet earth rain release deep musky perfume,True
2,sweet intoxicate fragrance drift moonlit garden,sweet intoxicate fragrance drift moonlit garden,True
3,burn wood fill cabin smoky rustic scent,burn wood fill cabin smoky rustic scent,True
4,sharp vinegar note waft open jar,sharp vinegar note waft open jar,True
5,faint metallic tang accompany dusty antique workshop smell,faint metallic tang accompany dusty antique workshop smell,True
6,crisp clean scent pine tree refresh lung,crisp clean scent pine tree refresh lung,True
7,unheated lavender field exude calming floral aroma,unheated lavender field exude calming floral aroma,True
8,warm vanilla candle soften room atmosphere,warm vanilla candle soften room atmosphere,True
9,sea breeze carry salty briny note seaweed,sea breeze carry salty briny note seaweed,True
10,diesel fume cling busy street unwelcome guest,diesel fume cling busy street unwelcome guest,True
11,acrid scent burn toast linger unpleasantly air,acrid scent burn toast linger unpleasantly air,True
12,delicate hint citrus dance freshly peel orange,delicate hint citrus dance freshly peel orange,True
13,sweet caramelize sugar drift carnival popcorn stand,sweet caramelize sugar drift carnival popcorn stand,True
14,subtle herbal scent accompany steaming cup green team,subtle herbal scent accompany steaming cup green team,True
15,damp wool carry musty odor rainy trek,damp wool carry musty odor rainy trek,True
16,pungent tang garlic fill bustle kitchen,pungent tang garlic fill bustle kitchen,True
17,crush eucalyptus leave release sharp invigorate menthol aroma,crush eucalyptus leave release sharp invigorate menthol aroma,True
18,morning dew carry faint scent bloom rose,morning dew carry faint scent bloom rose,True
19,spicy earthy aroma cinnamon fill cozy,spicy earthy aroma cinnamon fill cozy,True
20,hint chlorine waft sparkle blue pool,hint chlorine waft sparkle blue pool,True
21,freshly cut grass bring bright lively smell summer,freshly cut grass bring bright lively smell summer,True
22,scent freshly sharpen pencil fill quiet classroom,scent freshly sharpen pencil fill quiet classroom,True
23,heavily spiced incense cloud temple warm fragrance,heavily spiced incense cloud temple warm fragrance,True
24,bakery yeasty aroma tempt passersby comforting familiarity,bakery yeasty aroma tempt passersby comforting familiarity,True
25,acrid scent sulfur follow striking match,acrid scent sulfur follow striking match,True
26,old leather bind book release nostalgic woody smell history,old leather bind book release nostalgic woody smell history,True
27,warm asphalt rain exude rich mineral like scent,warm asphalt rain exude rich mineral like scent,True
28,faint floral perfume cling note envelope,faint floral perfume cling note envelope,True
29,burn sugar leave bitter smell small kitchen,burn sugar leave bitter smell small kitchen,True
30,golden sweetness perfume jar lid open,golden sweetness perfume jar lid open,True
31,forest smell damp fall leave freedom,forest smell damp fall leave freedom,True
32,dry line carry fresh sunlit air,dry line carry fresh sunlit air,True
33,cloying smell cheap cologne linger crowded elevator,cloying smell cheap cologne linger crowded elevator,True
34,smoke curl candle leave faint burn odor,smoke curl candle leave faint burn odor,True
35,freshly paint wall give chemical clean scent,freshly paint wall give chemical clean scent,True
36,faint fishy aroma rise market icy stall,faint fishy aroma rise market icy stall,True
37,blossom citrus tree envelop orchard zesty perfume,blossom citrus tree envelop orchard zesty perfume,True
38,steam rice release neutral soft smell simple comfort,steam rice release neutral soft smell simple comfort,True
39,autumn carry note fall acorn crisp leave,autumn carry note fall acorn crisp leave,True
