,clean_sentence,clean_token,ref_type,original_ref_type
577,prawns shrimps hard stiff pleasant scent tails turned strongly inward new limber colour faded faint smell feel slimy stale,pleasant faint prawns shrimps scent smell,Olfactive,Quality
103,senna leaves,senna leaves,Olfactive,Quality
190,nauseousbitter depends composition mucilage bitter bryonyroots squills berries spina cervina foxgloves mucilage stomach relaxes fibres causes bitter stick longer act strongly vomiting purging taste polygala sena,bryonyroots squills berries spina cervina foxgloves nauseousbitter,Olfactive,Quality
62,noisome smell people imagine deadly pestilence probably because patients affected epidemic diseases smallpox typhus diphtheria give nauseating odours,noisome nauseating patients affected epidemic diseases smell odours,Olfactive,Quality
197,effects aromaticks body warm stomach discuss wind constitute class sweet aromaticks fenniltastes accounted carminatives because rarefie flatuous exhalations chyle primae viae discuss,exhalations chyle flatuous,Olfactive,Quality
93,costus dulcis aromatic firm root resembling spikenard smell little use,resembling spikenard costus dulcis aromatic smell,Olfactive,Quality
594,may however state enpassant subjects nose persistently even casually suggests offensive smell certain room house nursing might think gasjet not turned leaking gas soilpipes old forgotten cesspool leaking drain mention suspicions doctor responsible head house,offensive smell,Olfactive,Quality
531,however difference odours difference not perceptible senses only practical point requiring notice diluted odour bitter almonds would probably pronounced many persons indicate presence prussic acid especially existed suspicion violent death,prussic acid diluted bitter almonds odours odour,Olfactive,Quality
241,frequent conversations among officers respecting offensive smell particular expressed surprise barracks built near nuisancer surprise officers shared believe already stated every regiment ever quartered unwholesome station wonder ought no attempt ever made government authorities remove evident only cause insalubrity — surrounding marsh,offensive smell,Olfactive,Quality
129,opoponax,opoponax,Olfactive,Quality
508,foincoupe — popular type perfume supposed reproduce odour newmown hay,foincoupe newmown hay perfume odour,Olfactive,Quality
533,not affect olfactory nerves produces merely sense constriction throat,olfactory,Olfactive,Quality
144,found natural smell much supportable used perfumes immediately swooned away,natural much supportable smell perfumes,Olfactive,Quality
19,nor complaints without foundation mentioned length street mile besides surrey consumers gas works no less nine factories fabrication patent manure say nine sources fetid gases,gases fetid nine factories fabrication patent manure,Olfactive,Quality
572,odour instance distiller ’ fermentation works mixture raw corn malt always different night day brewer ’ sound fermentation works good malt,different distiller ’ fermentation odour,Olfactive,Quality
394,muller delicious cases caution professor westwood noticed doubtless needful may not bright beings bathe sunlight vapoury distillations livelong day gather odour fly,delicious,Olfactive,Quality
564,smelling termed vnnecessariest sences yet may employed cases necessitie witnesse democritus against celebration feast buthysia fasted nine dayes sustayning nature onely smell hot bread,hot bread smelling smell,Olfactive,Quality
111,yeleow saunders,yeleow saunders,Olfactive,Quality
495,no rilk using sieve retains scent flower perfume snuff flavour musk ambergrise perfume,sieve snuff flower flavour musk ambergrise perfume scent perfume,Olfactive,Quality
141,light sound odours unknown foetus womb except sensations motions already mentioned sleeps away time insensible busy world,unknown odours,Olfactive,Quality
88,true surprising odoriferous fragrant smell pungent agreeable bitter astringent taste turbid thickish consistence yellowish colour little come many years stranger must cautious buys every species turpentine mix,odoriferous fragrant smell,Olfactive,Quality
99,gum sagapenum gum sarcocolla gum tragacanth come cheap turkey,gum sagapenum gum sarcocolla gum tragacanth,Olfactive,Quality
