,clean_sentence,clean_token,ref_type,original_ref_type
217,difference degree betwixt aromatic fetid plant appear instance galeopsis smell fetid handling aromatic,fetid aromatic plant galeopsis aromatic smell,Olfactive,Quality
569,inconvenience wine heady eld flower add clary remedy better fragrance thereof manifest elder vinegar flower apt wine ropy,eld flower fragrance,Olfactive,Quality
206,fetor proceed owl appear smell rancid oil distill substance fat butter oyl olive distill,owl rancid oil distill substance fat butter oyl olive distill fetor smell,Olfactive,Quality
4,hippocrate ad spider canon city thessalian arise putrid ulcer pustule carbuncle hot constitution,ulcer pustule putrid,Olfactive,Quality
454,comminuted herb soak water expose sun acquire offensive odor liquid distilled distillate saturate common salt flock separate collect filter dissolve ether ether slowly evaporate,offensive comminuted herb odor,Olfactive,Quality
152,accident urine quality quality witness mercurial accord doctrine arabian physician smell sound touch color,urine smell,Olfactive,Quality
276,musk cherish perfume islamic world special favorite prophet greatly delight perfume perceive anaphoric love world report say old age woman location perfume perfume generally woman land refinement life carry far receive musk popular european perfume,cherish popular european musk musk perfume perfume perfume perfume,Olfactive,Quality
288,narrate case shoe fetishism man perversion begin age time wear new shoe previously liftoff shoe eld brother feel smelt new shoe sensation unmeasured pleasure year later begin use shoe method masturbation,new shoe smell,Olfactive,Quality
449,true russian musk pod mention loose round ball pill,true russian musk,Olfactive,Quality
420,remarkable piece beef mutton plunge quicksilver keep degree heat yield air bulk inflammable contract putrid smell day mouse treat manner yield proper putrid effluvium smell sufficiently indicate,putrid effluvium putrid piece beef mutton mouse smell smell,Olfactive,Quality
406,pass burnet kind like incarnation union night day male exotic glaucopidae long retractable filament generally beset hair ventral abdomen emit strong odor,strong hair odor,Olfactive,Quality
521,change experiment soak ordinary shooting boot oil aniseed walk park,oil aniseed,Olfactive,Quality
146,petrified pass speedily man heart diver creature instrument smelling cover pellicle film lift smell fume pellicle gross man creature require hotter strong fume moose,fume petrified smell smell,Olfactive,Quality
332,moot opinion ozena odour certain form bronchorrhoea bronchitis attribute observer putrescence bronchial excretion,odour,Olfactive,Quality
486,adulteration musk civet ambergris,musk civet,Olfactive,Quality
