,clean_sentence,clean_token,ref_type,original_ref_type
291,testify cretonne somewhat shoe fetishist appear enjoy smelling shoe,shoe smell,Olfactive,Quality
342,fetor breath closely resemble consideration observe pregnancy scorbutic cathectic state rheumatic character blood highly fibrinous embolism uncommon,breath fetor,Olfactive,Quality
351,inform surgeon extensive practice commit suicide year ago offensive malady,offensive,Olfactive,Quality
406,pass burnet kind like incarnation union night day male exotic glaucopidae long retractable filament generally beset hair ventral abdomen emit strong odor,strong hair odor,Olfactive,Quality
485,hang time jake house office ill scent innate virtue odor excited revive,ill scent odor,Olfactive,Quality
421,exceedingly difficult tedious collect quantity putrid air miscible water great proportion collect absorb water keep proportion endeavor ascertain,air putrid,Olfactive,Quality
254,man wear scent neck dance order attract attention particular girl believe act magical certainty manner charm report anthropological expedition torre strait vow,scent,Olfactive,Quality
221,afore mention instance fetid,fetid,Olfactive,Quality
459,perfume great sort flower,snuff great sort flower perfume,Olfactive,Quality
261,smell negress say musky character musky odor say characteristic blonde,musky musky negress blonde smell odor,Olfactive,Quality
57,come memory heliotrope,heliotrope,Olfactive,Quality
378,yellowish recent gradually cherry red odor taste cinnamon bark,cinnamon bark odor,Olfactive,Quality
91,civet,civet,Olfactive,Quality
100,sagapenum procure fetch good price measure resemble asafetida tear smell garlic instead onion,measure resemble asafetida garlic smell,Olfactive,Quality
534,fact appear explain call case poisoning acid examination body medical man perceive odor,odor,Olfactive,Quality
579,difficulty associate burning refuse servant dispose make bad smell,bad refuse smell,Olfactive,Quality
225,narcotic heavy offensive smell poppy solanum sweet heady smell root bear ear,heavy offensive sweet heady narcotic poppy solanum root bear ear smell smell,Olfactive,Quality
58,grow cottage grey granite fishing harbour bring faint ineffable fragrance inseparable blending emotion cling die odor memory holiday,faint ineffable die fragrance odor,Olfactive,Quality
544,well thing stink town,stink,Olfactive,Quality
189,elder bitter smell scorphularia discuss faculty outwardly fetidness bitterness,scorphularia smell fetidness,Olfactive,Quality
311,nature origin pulmonary fetor fetid bronchitis bronchorrhoea,bronchorrhoea fetor,Olfactive,Quality
14,albion street rain pool stagnant water hot weather disagreeable stench arise,disagreeable pool stagnant water stench,Olfactive,Quality
289,mistake record case shoe fetishist declare sexual attraction shoe usually wife lie largely odor leather,leather odor,Olfactive,Quality
308,fact ground conclusion special odor fetid bronchitis cause abandon term perplexing unscientific philosophical correct phrase bronchitis fetid expectoration,fetid bronchitis odor,Olfactive,Quality
542,christian state diffuse distant resemblance bitter almond accompany peculiar impression acridity nostril throat,distant resemblance bitter almond,Olfactive,Quality
563,opinion peculiar occasion danger body benefit receive crude wholesome vapor doggie corrupt exhalation subject infection true especially delight confer inconvenience cheer body sweetest odor give liberty vital power imprison delight fellow sence dull sweet breathing recite argument consequence bring exact acknowledgment sense,corrupt sweetest body exhalation odor,Olfactive,Quality
452,oil greenish yellow mobile light water peculiar odor sweet aromatic ruin taste,peculiar odor,Olfactive,Quality
185,milky resinous exulcerator oil fix join acid acrid salt tithymalus eula smell acid hot scent,acid hot milky resinous exulcerator tithymalus eula smell scent,Olfactive,Quality
491,snuff scented spanish manner lump double refined sugar rub mortar grain musk add little little pound snuff grind grain civet rub hand,snuff scented,Olfactive,Quality
207,fetor high degree volatile salt admit prove excrement animal putrefy flesh fine blood putrefy vegetable yield volatile salt,high degree excrement animal putrefy flesh fine blood putrefy vegetable fetor,Olfactive,Quality
514,case orange difference essential oil flower leave rind fruit afford different kind perfume,oil flower leave rind fruit essential perfume,Olfactive,Quality
36,consequence letter address beginning month complain stench emanate premise mess,stench,Olfactive,Quality
194,ill smell give nauseousness smell vomit smell herb bottle warm water henbane spurge,ill pouch herb henbane spurge smell smell smell,Olfactive,Quality
575,majority good judge see man devoid taste smell little difference putrid fresh food present,putrid fresh food smell,Olfactive,Quality
122,cause thin skinned pod cut open smell musk powerful piece liver thing mixed lead shoot heavy,powerful musk smell,Olfactive,Quality
274,predominance musk sexual odor associate fact actual nervous influence apart presence sexual association considerable,sexual musk odor,Olfactive,Quality
