,Unnamed: 0,Number,text,contains_ref,spellchecked_text,normalized_text
0,0,1,The aroma of fresh-baked bread lingered warmly in the air.,True,The aroma of fresh-baked bread lingered warmly in the air,aroma fresh baked bread linger warmly air
1,1,2,"Wet earth after rain released its deep, musky perfume.",True,Wet earth after rain released its deep musky perfume,wet earth rain release deep musky perfume
2,2,3,"Jasmine's sweet, intoxicating fragrance drifted through the moonlit garden.",True,Jasmine's sweet intoxicating fragrance drifted through the moonlit garden,jasmine sweet intoxicate fragrance drift moonlit garden
3,3,4,"Burning wood filled the cabin with a smoky, rustic scent.",True,Burning wood filled the cabin with a smoky rustic scent,burn wood fill cabin smoky rustic scent
4,4,5,Sharp vinegar notes wafted up from the open jar.,True,Sharp vinegar notes wafted up from the open jar,sharp vinegar note waft open jar
5,5,6,A faint metallic tang accompanied the dusty antique workshop smell.,True,A faint metallic tang accompanied the dusty antique workshop smell,faint metallic tang accompany dusty antique workshop smell
6,6,7,"The crisp, clean scent of pine trees refreshed my lungs.",True,The crisp clean scent of pine trees refreshed my lungs,crisp clean scent pine tree refresh lung
7,7,8,"Sun-heated lavender fields exuded a calming, floral aroma.",True,unheated lavender fields exuded a calming floral aroma,unheated lavender field exude calm floral aroma
8,8,9,Warm vanilla from the candle softened the room's atmosphere.,True,Warm vanilla from the candle softened the room's atmosphere,warm vanilla candle soften room atmosphere
9,9,10,"The sea breeze carried salty, briny notes of seaweed.",True,The sea breeze carried salty briny notes of seaweed,sea breeze carry salty briny note seaweed
10,10,11,Diesel fumes clung to the busy street like an unwelcome guest.,True,Diesel fumes clung to the busy street like an unwelcome guest,diesel fume cling busy street unwelcome guest
11,11,12,An acrid scent of burnt toast lingered unpleasantly in the air.,True,An acrid scent of burnt toast lingered unpleasantly in the air,acrid scent burn toast linger unpleasantly air
12,12,13,Delicate hints of citrus danced from the freshly peeled orange.,True,Delicate hints of citrus danced from the freshly peeled orange,delicate hint citru dance freshly peel orange
13,13,14,Sweet caramelized sugar drifted up from the carnival popcorn stand.,True,Sweet caramelized sugar drifted up from the carnival popcorn stand,sweet caramelized sugar drift carnival popcorn stand
14,14,15,A subtle herbal scent accompanied the steaming cup of green tea.,True,A subtle herbal scent accompanied the steaming cup of green team,subtle herbal scent accompany steaming green team
15,15,16,Damp wool carried a musty odor after the rainy trek.,True,Damp wool carried a musty odor after the rainy trek,damp wool carry musty odor trek
16,16,17,The pungent tang of garlic filled the bustling kitchen.,True,The pungent tang of garlic filled the bustling kitchen,pungent tang garlic fill bustling kitchen
17,17,18,"Crushed eucalyptus leaves released a sharp, invigorating menthol aroma.",True,Crushed eucalyptus leaves released a sharp invigorating menthol aroma,crushed eucalyptus leave release sharp invigorate menthol aroma
18,18,19,Morning dew carried the faint scent of blooming roses.,True,Morning dew carried the faint scent of blooming roses,morning dew carry faint scent bloom rose
19,19,20,"The spicy, earthy aroma of cinnamon filled the cozy caf",True,The spicy earthy aroma of cinnamon filled the cozy can,spicy earthy aroma cinnamon fill cozy
20,20,21,'e9.,True,'e9.,
21,21,22,A hint of chlorine wafted from the sparkling blue pool.,True,A hint of chlorine wafted from the sparkling blue pool,hint chlorine waft sparkling blue pool
22,22,23,"Freshly cut grass brought a bright, lively smell to summer.",True,Freshly cut grass brought a bright lively smell to summer,freshly cut grass bring bright lively smell summer
23,23,24,The scent of freshly sharpened pencils filled the quiet classroom.,True,The scent of freshly sharpened pencils filled the quiet classroom,scent freshly sharpen pencil fill quiet classroom
24,24,25,Heavily spiced incense clouded the temple with its warm fragrance.,True,Heavily spiced incense clouded the temple with its warm fragrance,heavily spice incense cloud temple warm fragrance
25,25,26,The bakery's yeasty aroma tempted passersby with its comforting familiarity.,True,The bakery's yeasty aroma tempted passersby with its comforting familiarity,bakery yeasty aroma tempt passersby comforting familiarity
26,26,27,The acrid scent of sulfur followed the striking of the match.,True,The acrid scent of sulfur followed the striking of the match,acrid scent sulfur follow striking match
27,27,28,"Old leather-bound books released a nostalgic, woody smell of history.",True,Old leather-bound books released a nostalgic woody smell of history,old leather bind book release nostalgic woody smell history
28,28,29,"Warm asphalt after rain exuded a rich, mineral-like scent.",True,Warm asphalt after rain exuded a rich mineral-like scent,warm asphalt rain exude rich mineral like scent
29,29,30,A faint floral perfume clung to the note in the envelope.,True,A faint floral perfume clung to the note in the envelope,faint floral perfume cling note envelope
30,30,31,Burnt sugar left a bitter after-smell in the small kitchen.,True,Burnt sugar left a bitter after-smell in the small kitchen,burn sugar leave bitter smell small kitchen
31,31,32,Honey's golden sweetness perfumed the jar as the lid opened.,True,Honey's golden sweetness perfumed the jar as the lid opened,honey golden sweetness perfume jar lid open
32,32,33,"The forest smelled like damp moss, fallen leaves, and freedom.",True,The forest smelled like damp moss fallen leaves and freedom,forest smell damp fall leave freedom
33,33,34,"Laundry dried on the line carried fresh, sunlit air.",True,Laundry dried on the line carried fresh sunlit air,dry line carry fresh sunlit air
34,34,35,The cloying smell of cheap cologne lingered in the crowded elevator.,True,The cloying smell of cheap cologne lingered in the crowded elevator,cloying smell cheap cologne linger crowded elevator
35,35,36,"Smoke curled from the candle, leaving a faint, burnt odor.",True,Smoke curled from the candle leaving a faint burnt odor,smoke curl candle leave faint burn odor
36,36,37,Freshly painted walls gave off a chemical but clean scent.,True,Freshly painted walls gave off a chemical but clean scent,freshly paint wall give chemical clean scent
37,37,38,A faint fishy aroma rose from the market's icy stalls.,True,A faint fishy aroma rose from the market's icy stalls,faint fishy aroma rise market icy stall
38,38,39,Blossoming citrus trees enveloped the orchard in their zesty perfume.,True,Blossoming citrus trees enveloped the orchard in their zesty perfume,blossom citrus tree envelop orchard zesty perfume
39,39,40,"Steamed rice released a neutral, soft smell of simple comfort.",True,Steamed rice released a neutral soft smell of simple comfort,steamed rice release neutral soft smell simple comfort
40,40,41,Autumn carried woodsy notes of fallen acorns and crisp leaves.,True,Autumn carried woodsy notes of fallen acorns and crisp leaves,autumn carry woodsy note fall acorn crisp leave
41,41,42,"Peppermint oil tickled the senses with its sharp, cooling aroma.",True,Peppermint oil tickled the senses with its sharp cooling aroma,peppermint oil tickle sense sharp cool aroma
42,42,43,"The old house smelled of mildew, history, and forgotten time.",True,The old house smelled of mildew history and forgotten time,old house smell mildew history forget time
43,43,44,Campfire smoke clung to clothes with a nostalgic outdoor scent.,True,Campfire smoke clung to clothes with a nostalgic outdoor scent,campfire smoke cling clothe nostalgic outdoor scent
44,44,45,The pungent odor of blue cheese dominated the charcuterie platter.,True,The pungent odor of blue cheese dominated the charcuterie platter,pungent odor blue cheese dominate charcuterie platter
45,45,46,A hint of lavender calmed the air in the bedroom.,True,A hint of lavender calmed the air in the bedroom,hint lavender calm air bedroom
46,46,47,Faint whiffs of tar and saltwater defined the harbor,True,Faint whiffs of tar and saltwater defined the harbor,faint whiff tar saltwater define harbor
47,47,48,'92s atmosphere.,True,'92s atmosphere,atmosphere
48,48,49,"Sizzling bacon filled the room with a savory, irresistible aroma.",True,Sizzling bacon filled the room with a savory irresistible aroma,sizzle bacon fill room savory irresistible aroma
49,49,50,The smell of wet dog after the rain was overwhelming.,True,The smell of wet dog after the rain was overwhelming,smell wet dog rain overwhelming
50,50,51,"Crisp apples at the orchard carried their fresh, tangy scent.",True,Crisp apples at the orchard carried their fresh tangy scent,crisp apple orchard carry fresh tangy scent
51,51,52,Perfumed soap left a lingering floral trail on her hands.,True,Perfumed soap left a lingering floral trail on her hands,perfumed soap leave linger floral trail hand
52,52,53,The sweet scent of wild honeysuckle intertwined with the humid air.,True,The sweet scent of wild honeysuckle intertwined with the humid air,sweet scent wild honeysuckle intertwine humid air
53,53,54,Charred wood from the bonfire lingered faintly in the clearing.,True,Charred wood from the bonfire lingered faintly in the clearing,charred wood bonfire linger faintly clearing
54,54,55,The pungent aroma of vinegar pickles wafted from the jar.,True,The pungent aroma of vinegar pickles wafted from the jar,pungent aroma vinegar pickle waft jar
55,55,56,"A breeze carried the sharp, mineral scent of the mountains.",True,A breeze carried the sharp mineral scent of the mountains,breeze carry sharp mineral scent mountain
56,56,57,"Freshly brewed coffee released a rich, nutty, and comforting fragrance.",True,Freshly brewed coffee released a rich nutty and comforting fragrance,freshly brew coffee release rich nutty comforting fragrance
57,57,58,The sharp bite of ammonia stung my nostrils in the lab.,True,The sharp bite of ammonia stung my nostrils in the lab,sharp bite ammonia sting nostril lab
58,58,59,A faint metallic odor clung to the rusty iron gate.,True,A faint metallic odor clung to the rusty iron gate,faint metallic odor cling rusty iron gate
59,59,60,"Damp pages of the ancient book exuded a musty, earthy smell.",True,Damp pages of the ancient book exuded a musty earthy smell,damp page ancient book exude musty earthy smell
60,60,61,The delicate scent of lilacs reminded her of spring mornings.,True,The delicate scent of lilacs reminded her of spring mornings,delicate scent lilac remind spring morning
61,61,62,Burnt rubber filled the air after the car screeched to a stop.,True,Burnt rubber filled the air after the car screeched to a stop,burn rubber fill air car screech stop
62,62,63,The tropical sweetness of ripe mangoes perfumed the farmer,True,The tropical sweetness of ripe mangoes perfumed the farmer,tropical sweetness ripe mango perfume farmer
63,63,64,'92s market stall.,True,'92s market stall,market stall
64,64,65,A salty tang accompanied the scent of drying fish on the docks.,True,A salty tang accompanied the scent of drying fish on the docks,salty tang accompany scent dry fish dock
65,65,66,"Baking chocolate chip cookies filled the kitchen with warm, sugary notes.",True,Baking chocolate chip cookies filled the kitchen with warm sugary notes,bake chocolate chip cookie fill kitchen warm sugary note
66,66,67,"Morning frost carried the crisp, clean smell of impending winter.",True,Morning frost carried the crisp clean smell of impending winter,morning frost carry crisp clean smell impending winter
67,67,68,A bouquet of lilies filled the room with a heady perfume.,True,A bouquet of lilies filled the room with a heady perfume,bouquet lily fill room heady perfume
68,68,69,"The harsh, acrid smell of smoke signaled a distant fire.",True,The harsh acrid smell of smoke signaled a distant fire,harsh acrid smell smoke signal distant fire
69,69,70,The sharp tang of lemon zest brightened the kitchen's aroma.,True,The sharp tang of lemon zest brightened the kitchen's aroma,sharp tang lemon zest brighten kitchen aroma
70,70,71,"The earthy, bitter smell of coffee beans lingered in the caf",True,The earthy bitter smell of coffee beans lingered in the can,earthy bitter smell coffee bean linger
71,71,72,'e9.,True,'e9.,
72,72,73,"Fresh paint had a sharp, chemical tang in the closed room.",True,Fresh paint had a sharp chemical tang in the closed room,fresh paint sharp chemical tang closed room
73,73,74,"Sweet strawberries at peak ripeness released their juicy, sugary fragrance.",True,Sweet strawberries at peak ripeness released their juicy sugary fragrance,sweet strawberry peak ripeness release juicy sugary fragrance
74,74,75,A faint whiff of gasoline came from the recently parked car.,True,A faint whiff of gasoline came from the recently parked care,faint whiff gasoline come recently park care
75,75,76,"Burning incense filled the temple with its rich, spicy smoke.",True,Burning incense filled the temple with its rich spicy smoke,burn incense fill temple rich spicy smoke
76,76,77,"The sweet, milky scent of coconut oil lingered on her skin.",True,The sweet milky scent of coconut oil lingered on her skin,sweet milky scent coconut oil linger skin
77,77,78,"The barn smelled of hay, leather, and the warm scent of animals.",True,The barn smelled of hay leather and the warm scent of animals,barn smelled hay leather warm scent animal
78,78,79,"Aromatic cloves gave the cider a festive, spicy fragrance.",True,Aromatic cloves gave the cider a festive spicy fragrance,aromatic clove give cider festive spicy fragrance
79,79,80,Clean linens smelled faintly of lavender and sunlight after washing.,True,Clean linens smelled faintly of lavender and sunlight after washing,clean linen smell faintly lavender sunlight wash
80,80,81,The humid air carried the swamp,True,The humid air carried the swamp,humid air carry swamp
81,81,82,"'92s earthy, decaying vegetation scent.",True,'92s earthy decaying vegetation scent,earthy decay vegetation scent
82,82,83,"Ripe tomatoes at the stand smelled earthy, fresh, and tangy.",True,Ripe tomatoes at the stand smelled earthy fresh and tangy,ripe tomato stand smell earthy fresh tangy
83,83,84,"The sharp, peppery aroma of arugula filled the garden in spring.",True,The sharp peppery aroma of arugula filled the garden in spring,sharp peppery aroma arugula fill garden spring
84,84,85,"Melted chocolate gave off its irresistible, sweet, and creamy perfume.",True,Melted chocolate gave off its irresistible sweet and creamy perfume,melt chocolate give irresistible sweet creamy perfume
85,85,86,The wet dog smell filled the car after the beach trip.,True,The wet dog smell filled the car after the beach trip,wet dog smell fill car beach trip
86,86,87,A faint smell of ozone hung in the air after lightning.,True,A faint smell of ozone hung in the air after lightning,faint smell ozone hang air lightne
87,87,88,Hot asphalt carried the smell of summer heat and city life.,True,Hot asphalt carried the smell of summer heat and city life,hot asphalt carry smell summer heat city life
88,88,89,"The laundry smelled of detergent, fresh air, and faint lavender.",True,The laundry smelled of detergent fresh air and faint lavender,laundry smelled detergent fresh air faint lavender
89,89,90,The overwhelming stench of spoiled milk filled the kitchen.,True,The overwhelming stench of spoiled milk filled the kitchen,overwhelming stench spoiled milk fill kitchen
90,90,91,"Eucalyptus leaves gave the sauna its soothing, herbal fragrance.",True,Eucalyptus leaves gave the sauna its soothing herbal fragrance,eucalyptus leave give sauna soothing herbal fragrance
91,91,92,The salty smell of pretzels wafted through the bustling street fair.,True,The salty smell of pretzels wafted through the bustling street fair,salty smell pretzel waft bustling street fair
92,92,93,A faint sulfurous odor hinted at the nearby hot springs.,True,A faint sulfurous odor hinted at the nearby hot springs,faint sulfurous odor hint nearby hot spring
93,93,94,"Freshly grated nutmeg gave the pie its warm, spicy aroma.",True,Freshly grated nutmeg gave the pie its warm spicy aroma,freshly grate nutmeg give pie warm spicy aroma
94,94,95,"New leather boots carried their distinct, polished smell into the house.",True,New leather boots carried their distinct polished smell into the house,new leather boot carry distinct polished smell house
95,95,96,The barn,True,The barn,barn
96,96,97,'92s musty scent was mixed with hay and manure.,True,'92s musty scent was mixed with hay and manure,musty scent mix hay manure
97,97,98,A faint fruity aroma came from the fermenting wine barrels.,True,A faint fruity aroma came from the fermenting wine barrels,faint fruity aroma come ferment wine barrel
98,98,99,"The soft, powdery smell of baby lotion clung to the nursery.",True,The soft powdery smell of baby lotion clung to the nursery,soft powdery smell baby lotion cling nursery
99,99,100,"The forest floor smelled damp, rich, and alive after the rain.",True,The forest floor smelled damp rich and alive after the rain,forest floor smell damp rich alive rain
100,100,101,A hint of cinnamon and cloves lingered in the holiday air.,True,A hint of cinnamon and cloves lingered in the holiday air,hint cinnamon clove linger holiday air
101,101,102,"Ocean spray carried the salty, briny scent of distant waves.",True,Ocean spray carried the salty briny scent of distant waves,carry salty briny scent distant wave
102,102,103,The sharp odor of bleach filled the freshly cleaned bathroom.,True,The sharp odor of bleach filled the freshly cleaned bathroom,sharp odor bleach fill freshly clean bathroom
