,phrases,positive_terms,positive_negative
0,aroma fresh baked bread linger warmly air,"aroma, bread, fresh  ",1
1,wet earth rain release deep musky perfume,"earth, musky, perfume, rain  ",1
2,jasmine sweet intoxicate fragrance drift moonlit garden,"fragrance, jasmine, sweet  ",1
3,burn wood fill cabin smoky rustic scent,"rustic, scent, wood  ",1
4,sharp vinegar note waft open jar,"sharp, vinegar  ",1
5,faint metallic tang accompany dusty antique workshop smell,"metallic, smell, tang  ",1
6,crisp clean scent pine tree refresh lung,"clean, crisp, pine, scent  ",1
7,unheated lavender field exude calm floral aroma,"aroma, floral, lavender  ",1
8,warm vanilla candle soften room atmosphere,"candle, vanilla  ",1
9,sea breeze carry salty briny note seaweed,"briny, salty, sea  ",1
10,diesel fume cling busy street unwelcome guest,  ,1
11,acrid scent burn toast linger unpleasantly air,scent  ,1
12,delicate hint citru dance freshly peel orange,  ,1
13,sweet caramelized sugar drift carnival popcorn stand,sweet  ,1
14,subtle herbal scent accompany steaming green team,scent  ,1
15,damp wool carry musty odor trek,"musty, odor  ",1
16,pungent tang garlic fill bustling kitchen,"pungent, tang  ",1
17,crushed eucalyptus leave release sharp invigorate menthol aroma,"aroma, eucalyptus, sharp  ",1
18,morning dew carry faint scent bloom rose,"rose, scent  ",1
19,spicy earthy aroma cinnamon fill cozy,"aroma, earthy, spicy  ",1
20,,  ,1
21,hint chlorine waft sparkling blue pool,  ,1
22,freshly cut grass bring bright lively smell summer,"grass, smell  ",1
23,scent freshly sharpen pencil fill quiet classroom,scent  ,1
24,heavily spice incense cloud temple warm fragrance,"fragrance, incense  ",1
25,bakery yeasty aroma tempt passersby comforting familiarity,aroma  ,1
26,acrid scent sulfur follow striking match,"scent, sulfur  ",1
27,old leather bind book release nostalgic woody smell history,"leather, smell  ",1
28,warm asphalt rain exude rich mineral like scent,"asphalt, rain, scent  ",1
29,faint floral perfume cling note envelope,"floral, perfume  ",1
30,burn sugar leave bitter smell small kitchen,"bitter, smell  ",1
31,honey golden sweetness perfume jar lid open,perfume  ,1
32,forest smell damp fall leave freedom,smell  ,1
33,dry line carry fresh sunlit air,fresh  ,1
34,cloying smell cheap cologne linger crowded elevator,smell  ,1
35,smoke curl candle leave faint burn odor,"candle, odor, smoke  ",1
36,freshly paint wall give chemical clean scent,"chemical, clean, scent  ",1
37,faint fishy aroma rise market icy stall,aroma  ,1
38,blossom citrus tree envelop orchard zesty perfume,"perfume, zesty  ",1
39,steamed rice release neutral soft smell simple comfort,smell  ,1
40,autumn carry woodsy note fall acorn crisp leave,crisp  ,1
41,peppermint oil tickle sense sharp cool aroma,"aroma, sharp  ",1
42,old house smell mildew history forget time,smell  ,1
43,campfire smoke cling clothe nostalgic outdoor scent,"scent, smoke  ",1
44,pungent odor blue cheese dominate charcuterie platter,"cheese, odor, pungent  ",1
45,hint lavender calm air bedroom,lavender  ,1
46,faint whiff tar saltwater define harbor,"tar, whiff  ",1
47,atmosphere,  ,1
48,sizzle bacon fill room savory irresistible aroma,"aroma, bacon, savory  ",1
