,index,Unnamed: 0,text,output,label,spellchecked_text,normalized_text,token,sentence,ref_type,clean_sentence,clean_token,pred_token,prec,rec,enriched_prec,enriched_rec
0,583,794,food in a dutch oven sitting next to a fire.,"['fire', 'food']","[{'start': 39, 'end': 43, 'text': 'fire', 'labels': ['ENTITY']}, {'start': 0, 'end': 4, 'text': 'food', 'labels': ['ENTITY']}]",food in a dutch oven sitting next to a fire,food dutch oven sit fire,fire food,food in a dutch oven sitting next to a fire.,Olfactive,food dutch oven sitting next fire,fire food,utch,0.0,0.0,0.0,0.0
1,433,583,two half-full glasses of wine are sitting on paper with bread and cheese.,"['paper', 'wine']","[{'start': 45, 'end': 50, 'text': 'paper', 'labels': ['ENTITY']}, {'start': 25, 'end': 29, 'text': 'wine', 'labels': ['ENTITY']}]",two half-full glasses of wine are sitting on paper with bread and cheese,half glass wine sit paper bread cheese,paper wine,two half-full glasses of wine are sitting on paper with bread and cheese.,Olfactive,two halffull glasses wine sitting paper bread cheese,paper wine,ff,0.0,0.0,0.0,0.0
2,552,763,a woman stands on a tennis court holding a racket. ,"['woman', 'racket', 'tennis court']","[{'start': 2, 'end': 7, 'text': 'woman', 'labels': ['ENTITY']}, {'start': 43, 'end': 49, 'text': 'racket', 'labels': ['ENTITY']}, {'start': 20, 'end': 32, 'text': 'tennis court', 'labels': ['ENTITY']}]",a woman stands on a tennis court holding a racket,woman stand tennis court hold racket,woman racket tennis court,a woman stands on a tennis court holding a racket. ,Olfactive,woman stands tennis court holding racket,woman racket tennis court,racket,1.0,0.25,1.0,0.25
3,533,740,a living room containing a rug a table and some sofas,['living room'],"[{'start': 2, 'end': 13, 'text': 'living room', 'labels': ['ENTITY']}]",a living room containing a rug a table and some sofas,living room contain rug table sofas,living room,a living room containing a rug a table and some sofas,Olfactive,living room containing rug table sofas,living room,f,0.0,0.0,0.0,0.0
4,235,349,a brown dog with a toy chasing another dog.,"['dog', 'toy']","[{'start': 8, 'end': 11, 'text': 'dog', 'labels': ['ENTITY']}, {'start': 19, 'end': 22, 'text': 'toy', 'labels': ['ENTITY']}]",a brown dog with a toy chasing another dog,brown dog toy chase dog,dog toy,a brown dog with a toy chasing another dog.,Olfactive,brown dog toy chasing another dog,dog toy,,0.0,0.0,0.0,0.0
5,881,1164,a giant bear and mouse on display at the mall.,"['mall', 'bear']","[{'start': 41, 'end': 45, 'text': 'mall', 'labels': ['ENTITY']}, {'start': 8, 'end': 12, 'text': 'bear', 'labels': ['ENTITY']}]",a giant bear and mouse on display at the mall,giant bear mouse display mall,mall bear,a giant bear and mouse on display at the mall.,Olfactive,giant bear mouse display mall,mall bear,,0.0,0.0,0.0,0.0
6,298,427,a fishing troller boat docked next to a lighthouse.,['troller boat'],"[{'start': 10, 'end': 22, 'text': 'troller boat', 'labels': ['ENTITY']}]",a fishing troller boat docked next to a lighthouse,fishing troller boat dock lighthouse,troller boat,a fishing troller boat docked next to a lighthouse.,Olfactive,fishing troller boat docked next lighthouse,troller boat,,0.0,0.0,0.0,0.0
7,331,461,a cat laying on a bed next to a remote control.,"['cat', 'control']","[{'start': 2, 'end': 5, 'text': 'cat', 'labels': ['ENTITY']}, {'start': 39, 'end': 46, 'text': 'control', 'labels': ['ENTITY']}]",a cat laying on a bed next to a remote control,cat lay bed remote control,cat control,a cat laying on a bed next to a remote control.,Olfactive,cat laying bed next remote control,cat control,remote,0.0,0.0,0.0,0.0
8,60,75,the back end of a plane is seen flying over the mountains.,['plane'],"[{'start': 18, 'end': 23, 'text': 'plane', 'labels': ['ENTITY']}]",the back end of a plane is seen flying over the mountains,end plane see fly mountain,plane,the back end of a plane is seen flying over the mountains.,Olfactive,back end plane seen flying mountains,plane,,0.0,0.0,0.0,0.0
9,381,521,a man in uniform with a bunch of guys in line.,"['guys', 'man']","[{'start': 33, 'end': 37, 'text': 'guys', 'labels': ['ENTITY']}, {'start': 2, 'end': 5, 'text': 'man', 'labels': ['ENTITY']}]",a man in uniform with a bunch of guys in line,man uniform bunch guy line,guys man,a man in uniform with a bunch of guys in line.,Olfactive,man uniform bunch guys line,guys man,,0.0,0.0,0.0,0.0
