,sentence,clean_token,clean_sentence
0,aroma fresh baked bread linger warmly air,aroma bread fresh  ,aroma fresh baked bread linger warmly air
1,wet earth rain release deep musky perfume,earth musky perfume rain  ,wet earth rain release deep musky perfume
2,jasmine sweet intoxicate fragrance drift moonlit garden,fragrance jasmine sweet  ,jasmine sweet intoxicate fragrance drift moonlit garden
3,burn wood fill cabin smoky rustic scent,rustic scent wood  ,burn wood fill cabin smoky rustic scent
4,sharp vinegar note waft open jar,sharp vinegar  ,sharp vinegar note waft open jar
5,faint metallic tang accompany dusty antique workshop smell,metallic smell tang  ,faint metallic tang accompany dusty antique workshop smell
6,crisp clean scent pine tree refresh lung,clean crisp pine scent  ,crisp clean scent pine tree refresh lung
7,unheated lavender field exude calm floral aroma,aroma floral lavender  ,unheated lavender field exude calm floral aroma
8,warm vanilla candle soften room atmosphere,candle vanilla  ,warm vanilla candle soften room atmosphere
9,sea breeze carry salty briny note seaweed,briny salty sea  ,sea breeze carry salty briny note seaweed
10,diesel fume cling busy street unwelcome guest,  ,diesel fume cling busy street unwelcome guest
11,acrid scent burn toast linger unpleasantly air,scent  ,acrid scent burn toast linger unpleasantly air
12,delicate hint citru dance freshly peel orange,  ,delicate hint citru dance freshly peel orange
13,sweet caramelized sugar drift carnival popcorn stand,sweet  ,sweet caramelized sugar drift carnival popcorn stand
14,subtle herbal scent accompany steaming green team,scent  ,subtle herbal scent accompany steaming green team
15,damp wool carry musty odor trek,musty odor  ,damp wool carry musty odor trek
16,pungent tang garlic fill bustling kitchen,pungent tang  ,pungent tang garlic fill bustling kitchen
17,crushed eucalyptus leave release sharp invigorate menthol aroma,aroma eucalyptus sharp  ,crushed eucalyptus leave release sharp invigorate menthol aroma
18,morning dew carry faint scent bloom rose,rose scent  ,morning dew carry faint scent bloom rose
19,spicy earthy aroma cinnamon fill cozy,aroma earthy spicy  ,spicy earthy aroma cinnamon fill cozy
20,,  ,nan
21,hint chlorine waft sparkling blue pool,  ,hint chlorine waft sparkling blue pool
