,clean_sentence,clean_token,ref_type,original_ref_type
403,seize butterfly sex push fourth fifth segment abdomen hemispherical protuberance produce disagreeable odor male second pair fifth sixth segment abdomen different musk like odor produce black spot wing,musk like disagreeable hemispherical protuberance black spot wing odor odor,Olfactive,Quality
598,color diver big rose flower damask rise pleasant sight smell year unremoved,pleasant smell,Olfactive,Quality
138,organ smell irritate perfume lacrymal sack empty nostril explain increase tear pour eye,perfume,Olfactive,Quality
294,niece mention colleague inform prostitute client desire odor new shoe room accustom obtain desire perfume hold shoe moment flame spirit lamp,desire new shoe odor perfume,Olfactive,Quality
520,readily see nighttime favorable retention scent evaporation place rapidly course show dog especially useful time,scent,Olfactive,Quality
37,man make manure open vessel smell street offensive remark utter passenger,offensive manure open vessel smell,Olfactive,Quality
543,closet stink apothecary shop drug medicine administer sick neighbor spoil quack practice receipt book belong family,apothecary shop drug medicine stink,Olfactive,Quality
406,pass burnet kind like incarnation union night day male exotic glaucopidae long retractable filament generally beset hair ventral abdomen emit strong odor,strong hair odor,Olfactive,Quality
509,invariably base coumarin modify lavender bergamot perfume accord exact note perfumer wish product,perfume,Olfactive,Quality
586,methyl idol skatole commonly form native protein peptone absence carbohydrate organism,methyl idol skatole,Olfactive,Quality
84,concrete gummy substance strong fetid smell resemble onion shallot small drop tear pack form massy lump,onion shallot strong fetid smell,Olfactive,Quality
112,pale yellowish wood pleasant smell bitter aromatic taste leave agreeable kind pungency generally bring large thick log care take sound solid,pleasant smell,Olfactive,Quality
345,remark refer chiefly case pulmonary fetor change structure observe,pulmonary fetor,Olfactive,Quality
569,inconvenience wine heady eld flower add clary remedy better fragrance thereof manifest elder vinegar flower apt wine ropy,eld flower fragrance,Olfactive,Quality
531,difference odor difference perceptible sense practical point require notice diluted odor bitter almond probably pronounce person indicate presence prussic acid especially exist suspicion violent death,prussic acid dilute bitter almond odor odor,Olfactive,Quality
203,astringent aromatic cordial astringency strengthen fire stomach membrane nervous part acid evident astringency hinder great rarefaction blood fragrant pungent oil,fragrant pungent astringent oil,Olfactive,Quality
493,spanish snuff fine relish color imitate nicely good dutch cleanse granulate coloured red beat fine sift fine lawn sieve,good,Olfactive,Quality
558,burn incense breath smell,incense smell,Olfactive,Quality
534,fact appear explain call case poisoning acid examination body medical man perceive odor,odor,Olfactive,Quality
207,fetor high degree volatile salt admit prove excrement animal putrefy flesh fine blood putrefy vegetable yield volatile salt,high degree excrement animal putrefy flesh fine blood putrefy vegetable fetor,Olfactive,Quality
503,pleasant perfume drachm musk clove ounce lavender seed drachm half civet drachm heat pestle mortar rub musk clove lavender seed lump loaf sugar wineglass angelic rosewater,pleasant musk clove ounce lavender seed drachm half civet drachm clove lavender seed lump loaf sugar wineglass angelic rosewater perfume,Olfactive,Quality
130,concrete gummy resinous juice produce persia good bring home way east indie reddish orange coloured drop tear break inside appear pale yellow intermix white speck fragrant smell seller root pleasant bitter acrid taste,seller root fragrant smell,Olfactive,Quality
517,leaf flower perfume depend essential oil different state condition,oil leaf flower perfume essential,Olfactive,Quality
125,brown sort appear mealy substance sell second sort color taste smell inside appear glassy solid generally lump,smell,Olfactive,Quality
450,proper perfume distinguish smell urine,urine distinguish perfume smell,Olfactive,Quality
20,factory activity month store stink ingredient manufacturer permanent smell part street mixing go action sulfuric acid animal vegetable matter give stench occasion headache nausea vomiting cough inmate house adjacent factory,stink permanent ingredient smell stench,Olfactive,Quality
4,hippocrate ad spider canon city thessalian arise putrid ulcer pustule carbuncle hot constitution,ulcer pustule putrid,Olfactive,Quality
169,purpose practise point wish write curiously concern point regard aromatically drug vine well taste european feed gross food,drug aromatically,Olfactive,Quality
115,cassia line bright color good shape little smell taste break handful stick ascertain quality tasting fine smell strong taste,little fine cassia line smell smell,Olfactive,Quality
9,noble man come visit cleanse perfume house,perfume,Olfactive,Quality
418,metal yield odor gold platina dilute sulfuric phosphoric nitric acid aqueous solution salt disengage,dilute sulfuric phosphoric nitric acid aqueous solution salt odor,Olfactive,Quality
177,matrix embrace meeteth sweet odor perfume unsavory stink send abhors fly certain truth creature natural instinct shun inconvenience affect thing convenient,sweet unsavory stink odor perfume send,Olfactive,Quality
327,express doubt case tubercular phthisis observe faecal odor case,faecal odor,Olfactive,Quality
366,oil spearmint,oil spearmint,Olfactive,Quality
32,ditch clean smell receive drainage small house,ditch smell,Olfactive,Quality
408,male death head moth point squeaking finger abdomen inflate sessile pencil yellow hair start fold dorsal ventral arc base plate v fig expand stellate form swift whirling motion trundle mop fig immediately arise oily volatile effluvia resemble scent jessamine soon nauseous,jessamine oily volatile nauseous effluvia scent,Olfactive,Quality
361,acrid stench cigarette smoke cling old curtain,acrid stench cigarette smoke,Olfactive,Quality
73,barn smell hay leather warm scent animal,barn smell hay leather swarm scent,Olfactive,Quality
374,faint metallic tang fresh ink fill print press room,faint metallic fresh ink printing press,Olfactive,Quality
155,bitter scent espresso fill bustling coffee shop,bitter scent espresso coffee,Olfactive,Quality
104,warm bread roll carry comforting scent home cook meal,warm roll comfort scent home cook,Olfactive,Quality
394,warm sugary smell sugar coat donut perfectly,warm sugary smell cinnamon sugar donut,Olfactive,Quality
377,sharp clean scent vinegar cut fishy air,sharp scent vinegar fishy,Olfactive,Quality
124,strong zesty citrus aroma rise cut grapefruit,strong zesty aroma cut,Olfactive,Quality
68,fresh paint sharp chemical tang closed room,fresh paint sharp tang closed,Olfactive,Quality
450,warm spicy aroma clove enhance mulled wine,warm spicy aroma clove mulled,Olfactive,Quality
9,sea breeze carry salty briny note seaweed,sea salty briny,Olfactive,Quality
194,clean sharp scent eucalyptus fill steam room,clean scent eucalyptus steam,Olfactive,Quality
406,sweet tropical scent coconut milk enrich creamy soup,sweet tropical scent coconut milk creamy,Olfactive,Quality
84,overwhelming stench spoiled milk fill kitchen,overwhelming stench spoiled milk,Olfactive,Quality
