,clean_sentence,clean_token,ref_type,original_ref_type
0,fearless diver plumb unexplored reef gleam tropical wave,reef,Olfactive,Olfactive
1,luminous beetle dance gracefully quiet garden pond,garden,Olfactive,Olfactive
2,jubilant puppy chase butterfly flower backyard fence,flowering backyard,Olfactive,Olfactive
3,cold ocean current guide iceberg distant northern shipping lane,ocean,Olfactive,Olfactive
4,perch confidently cedar branch late spring,branch,Olfactive,Olfactive
5,unexpected meteor shower illuminate farmland vast midnight sky,farmland,Olfactive,Olfactive
6,kayaker navigate choppy rapid jagged cliff low hang storm cloud,rapid,Olfactive,Olfactive
7,thick vine cling persistently crack statue overgrown courtyard,vine overgrown courtyard,Olfactive,Olfactive
8,tower sunflower sway gently bright ray invite busy honeybee,sunflower,Olfactive,Olfactive
9,adventurous hiker chart hide waterfall dense unexplored jungle interior,jungle,Olfactive,Olfactive
10,surveyor map treacherous pass steep ridge overlook valley,,Olfactive,Olfactive
11,cat lounge contentedly unwarmed windowsill long peaceful afternoon indoor,cat,Olfactive,Olfactive
12,secret passage lead visitor century old catacomb campus ground,catacomb,Olfactive,Olfactive
13,gradually cover abandon wall reclaim crumble brick hesitation,ivy,Olfactive,Olfactive
14,splendid firework explode overhead paint streak star fill summer sky,,Olfactive,Olfactive
15,tall oak tree shelter small creature seek refuge midday heat,oak tree,Olfactive,Olfactive
16,wildlife photographer crawl cautiously bush capture breathtaking safari snapshot today,bush,Olfactive,Olfactive
17,fluttering kite dot sky weave pattern sprawling beach,beach,Olfactive,Olfactive
18,friend recount humorous story glow ember riverside campfire,campfire,Olfactive,Olfactive
19,solitary monk meditate quietly whispering pine steep cliff,pine,Olfactive,Olfactive
20,rapid drummer synchronize beat energize dancer crowded carnival procession downtown,,Olfactive,Olfactive
21,restless horse gallop freely mist shroud plain early dawn,horse,Olfactive,Olfactive
22,rise tide challenge swimmer compete demand championship race,tide,Olfactive,Olfactive
23,harvest festivity united farmer showcase produce lively weekly market gathering,produce,Olfactive,Olfactive
24,muscular blacksmith hammer redroot steel shower bright flying spark,redroot steel,Olfactive,Olfactive
25,intricate ice sculpture gleam spotlight seasonal winter carnival worldwide,,Olfactive,Olfactive
26,stray dog howl mournfully echo desert farmland moonlit hour,dog farmland,Olfactive,Olfactive
27,boisterous cheerleader rally enthusiastic supporter today pivotal championship match,,Olfactive,Olfactive
28,digital nomad type feverishly coffee chasing looming project deadline abroad,,Olfactive,Olfactive
29,morning runner pass sculpt statue meticulously manicure park walking path,park,Olfactive,Olfactive
30,artist blend contrast pigment develop painting strike emotional resonance,pigment,Olfactive,Olfactive
31,horse draw wagon rattle unevenly narrow road border roll meadow,horse meadow,Olfactive,Olfactive
32,eager surfer watch massive wave form jagged coastal rock,,Olfactive,Olfactive
33,rise black smoke signal busy factory operate day night shift,black smoke,Olfactive,Olfactive
34,cheerful volunteer plant young seedling promote sustainability neglect urban district,plant,Olfactive,Olfactive
35,red fox roam farmland edge stalk rodent scurry field,fox farmlandrodent,Olfactive,Olfactive
36,seasoned baker knead dough vigorously shape loaf community feast,dough loaf,Olfactive,Olfactive
37,tower reed whisper softly tranquil river flow distant wetland,reed river wetland,Olfactive,Olfactive
38,falcon dive rapidly surprising small prey wide grassland plain nearby,grassland,Olfactive,Olfactive
39,yellow wildflower blanket roll hill brighten travelers⊙ panoramic view sunrise,wildflower,Olfactive,Olfactive
40,university student debate philosophical theory ivy cover lecture hall afternoon,ivy,Olfactive,Olfactive
41,cargo ship unload crate support commerce thrive international trade port,port,Olfactive,Olfactive
42,steady wind turbine harness clean energy progressive neighborhood field,field,Olfactive,Olfactive
43,falcon soar overhead scan valley prey hide brush,brush,Olfactive,Olfactive
44,desert wanderer ration water supply carefully extend voyage dune,,Olfactive,Olfactive
45,rowdy spectator cheer enthusiastically jet roar expansive runway,,Olfactive,Olfactive
46,exhausted marathon runner chug electrolyte drink recuperate temporary race tent,electrolyte drink,Olfactive,Olfactive
47,hearty laughter echo continuously giant bonfire summer festival night,bonfire,Olfactive,Olfactive
48,fitness enthusiast lift heavy barbell sculpt muscle modern downtown gym,,Olfactive,Olfactive
49,tower sequoias inspire photographer capture sunlight stream canopy overhead,,Olfactive,Olfactive
50,diligent nurse hurry ward ensure care patient,,Olfactive,Olfactive
51,compact car bypass traffic jam accelerate open service road,traffic jam,Olfactive,Olfactive
52,army engineer construct bridge ensure safe passage flood waterway,,Olfactive,Olfactive
53,ancestral temple display mosaic preserve cultural legacy span distant century,,Olfactive,Olfactive
54,pass commuter glimpse street performer entertain crowd subway staircase,,Olfactive,Olfactive
55,surgeon lead complex operation restore patient mobility pressure overnight,operation,Olfactive,Olfactive
56,lake host fishing tournament award prize record break trophy catch,fishing,Olfactive,Olfactive
57,energetic volunteer direct traffic guide visitor festival parking lot,traffic,Olfactive,Olfactive
58,athletic coach design drill shape athlete upcoming tournament final,,Olfactive,Olfactive
59,rescue boat patrol coastline assist strand passenger sea condition,sea,Olfactive,Olfactive
60,restoration crew reintroduce floral safeguard biodiversity disturb region,flora,Olfactive,Olfactive
61,hiker traverse steep incline overcome exhaustion sudden temperature change,steep,Olfactive,Olfactive
62,environmental activist block log truck demand law reckless deforestation,truck,Olfactive,Olfactive
63,suburban gardener swap seed expand vegetable harvest greenhouse space,garden vegetable greenhouse,Olfactive,Olfactive
64,acrobatic pilot perform stunt draw applause crowd runway,,Olfactive,Olfactive
65,parade showcase local tradition feature elaborate float carnival celebration,,Olfactive,Olfactive
66,weekend camper share campfire story forge friendship lakeside area,campfire,Olfactive,Olfactive
67,expert archeologist unearth artifact verify ancient timeline museum record,unearth artifact,Olfactive,Olfactive
68,retired geologist revisit quarry analyze rock sample excavation layer,quarry,Olfactive,Olfactive
69,arista serve handcraft beverage please patron bustling coffee shop,beverage coffee shop,Olfactive,Olfactive
70,cyclist pedal tirelessly pass farmland vista cross country charity expedition,farmland,Olfactive,Olfactive
71,night owl study ceaselessly devour textbook flicker library lamp,library,Olfactive,Olfactive
