,clean_sentence,clean_token,ref_type,original_ref_type
527,strongly scented ground makes tracking difficult animal human scent overpowered thus clover fields highly scented crops manured fields decided drawbacks,ground strongly overpowered highly animal human clover fields crops manured fields scented scent scented,Olfactive,Quality
18,gentlemen complaints continually made inhabitants rotlierhithestreet southern extremity swanlane horns foul smells obliged endure time past,foul smells,Olfactive,Quality
262,laycock nervous diseases women stated opinion musk smellsource odor smellword certainly sexual quality odor smellword man fere states musk odor among natural perfumes nearly approaching odor sexual secretions,sexual secretions natural musk odor perfumes odor,Olfactive,Quality
510,odour true newmown hay due sweetscented grass known anthoxanthum odoratum grass although many others contribute,true newmown hay grass anthoxanthum odoratum odour sweetscented,Olfactive,Quality
278,certainly true simple form odor musk not nowadays highly considered europe,musk odor,Olfactive,Quality
94,juneus odoratus sweet cane,juneus odoratus sweet cane,Olfactive,Quality
299,much disagreement prevails respect deodorizing power peat charcoal mr,peat charcoal deodorizing,Olfactive,Quality
420,remarkable however though piece beef mutton plunged quicksilver kept degree heat yield air bulk inflammable contracts no putrid smell least day two mouse treated manner yields proper putrid effluvium indeed smell sufficiently indicates,putrid effluvium putrid piece beef mutton mouse smell smell,Olfactive,Quality
452,oil greenishyellow mobile lighter water peculiar odour sweet aromatic huining taste,peculiar odour,Olfactive,Quality
492,keep snuff canisters closely syopped prevent scent exhaling,snuff scent,Olfactive,Quality
375,oil distilled britain caraway fruit,caraway fruit,Olfactive,Quality
542,christison states diffused distant resemblance bitter almonds accompanied peculiar impression acridity nostrils back throat,distant resemblance bitter almonds,Olfactive,Quality
168,afraid reader take ill long detaine among vnpleasing smels selfe begin waxe wearie vnworthie thing neuer tooke pleasure leaue like better,vnpleasing smels,Olfactive,Quality
488,contrary snuff receives perfume readily preserves flavour longer account,snuff perfume,Olfactive,Quality
355,perhaps may think equally probable others first become find exposure air lungs bloodheat surface body cases fetid perspiration,perspiration fetid,Olfactive,Quality
467,get wooden box big occasion line within dry paper lay bed snuff inch thick bed flowers along till no let lay flowers twenty four hours searce snuff take flowers renew time continue four five days think snuff perfum enough flowers keep close boxes dry place meddle flowers within because not heat,snuff flowers perfum,Olfactive,Quality
519,hand leaf odours persistent — ready sought,persistent leaf odours,Olfactive,Quality
45,tasted water butt no strongly impregnated flavour drainage,water butt flavour drainage impregnated,Olfactive,Quality
167,smell onely neuer certaintie collected informe iudgements concerning disease,smell,Olfactive,Quality
47,entered one stench sitting room worse privy,worse privy stench,Olfactive,Quality
298,attempt made time hitchin intercept solid matter sewage series reservoirs open pits outfall new drainage works without means deodorizing arrangements precipitating straining filtering,deodorizing,Olfactive,Quality
107,storax calamita storax tears,storax calamita storax tears,Olfactive,Quality
256,ambergris musk chief member linnseus group odores ambrosiacce group sexual significances zwaardemaker remarks ranks besides capryl group odors,ambrosiacce capryl ambergris musk odores odors,Olfactive,Quality
138,organ smell irritated perfume lacrymal sack empties nostrils explained increase tears poured eyes,perfume,Olfactive,Quality
507,toilet perfume somewhat resembling mixture lavender water eau de cologne rounded one following bodies cassia oil cinnamon oil cinnamic aldehyde clove oil pimento oil bay oil eugenol lemongrass oil,resembling mixture lavender water eau de cologne toilet perfume,Olfactive,Quality
200,effect produced saline pungent oyl altering acids glands brain correcting attenuating lympha succus nervosus glandulous humors prone stagnation acidity aromaticks exciting motion correcting acidities thereby rendring succus nervosus volatile deserve name cephalicks not improbable volatile parts dispose medicine circulate towards brain windy liquors disturb head no part,saline oyl cephalicks pungent aromaticks,Olfactive,Quality
301,heated saturation gave offensive effluvia abundance spread surface offensive matter escape odour prevented,offensive offensive matter effluvia odour,Olfactive,Quality
127,olibanum,olibanum,Olfactive,Quality
270,sphinx moth musky odor confined male doubtless sexual,musky sexual sphinx moth odor,Olfactive,Quality
314,first case observed breath sputa rendered spacious ward odious privy stench fresh foeces,fresh foeces stench,Olfactive,Quality
33,worst kinds effluvia generated action sulpuric acid upon raw bones blood pieces skin soot sugarscum suchlike ingredients,worst kinds action sulpuric acid upon raw bones blood pieces skin soot sugarscum suchlike ingredients effluvia,Olfactive,Quality
582,little management everything cannot bo used may burnt either copper fire kitchen fire — bones broken tealeaves fragments everything else result instead bad smells produced avoided because damp refuse put dustbin speedily ferments decomposes causes smell dangerous welt unpleasant cause cholera typhoid refuse burnt rendered quite harmless,bad dangerous unpleasant damp refuse smells smell,Olfactive,Quality
