,clean_sentence,clean_token,,
0,answer sweet things applyed matrix regard hot doe expell winde cut slow tenacious phlegm afterwards purge stinking things applied nose consume ascending vapours heat may still demand hot stinking things good break winde may not laid matrix well sweet things,stinking hot stinking things things,,
1,follows facts three distinct kinds pulmonary fetor namely faces ozaena gangrene remains ascertain arises,pulmonary faces ozaena gangrene fetor,,
2,evidence derivable taste odour poison instances importance,poison odour,,
3,yet no dung stinks much nostrels sinne doth nostrels god,much dung sinne stinks doth,,
4,several perhaps not amount mere whiff suspicion something unpleasant no no less disturbing say one note semitone flat major chord two three however sensitive thinwinged organ english schoolma ’ would attained rank “ smell ” word lips emphatic oath mine four least plain stenches beyond vocabulary altogether one was—well,mere plain several two three four whiff smell stenches,,
5,sweetsmelling perfume selected vertues pure streame diuine graces amiable beauty neuer blemished no delight shall withhold no affection seduce no inordinate pleasure entice no sweet smell draw haue tyed selfe spouse sences ministers refreshment sences,sweet perfume selected vertues sweetsmelling smell,,
6,organic nitrogenous compounds must broken nature ammonia nitrates may serve nutrients vegetation evident,organic nitrogenous compounds,,
7,may therefore justice raise song praise fathers country thus swept garnished swept noxious vapours emanations garnished perfume pure fresh air delight invigoration souls,vapours pure fresh air noxious emanations perfume,,
8,sputa exposed air however gives odour wholly different,wholly different odour,,
9,found one ton clay sufficient deodorize tons sewage present discharged ely only portion houses waterclosets yet liquid comparatively weak,one ton clay deodorize,,
10,not warrant narration because know case overruled aristotles philosophy smells nourish not application make good apostle calleth gospel preachers thereof odorem vitae ad vitam savour ofelife unto life,vitae ofelife smells odorem savour,,
11,putrid effluvium mix water seems evident following experiment,putrid effluvium,,
12,transparent limpid volatile pale bluishgreen liquid strong penetrating agreeable camphoraceous odour warm bitterish aromatic camphoraceous taste succeeded sensation coldness mouth,strong penetrating agreeable camphoraceous odour,,
13,ancients called propolis grow considerably hard june though measure soften heat often found different consistence colour smell,propolis smell,,
14,two persons could not perceive odour six ounces warm fluid freshly drawn stomach pump,six ounces warm fluid odour,,
15,last group cases endeavoured show peculiar fetor probably similar origin ozaena not like odour cases nor explanation apply fetor acute chronic bronchitis bronchorrhoea bronchopneumonia tliere no proof rodent ulcerous cavity,probably similar origin ozaena peculiar acute chronic bronchitis bronchorrhoea bronchopneumonia fetor odour fetor,,
16,windows side quadrangle palace holy rood contiguous foul burn irrigated lands regularly closed whenever slightest breath wind quarter prevent apartments filled effluvium,burn foul effluvium,,
17,no pomander smell like oyntment sauiour sweet comfort delight sweet mercy comfortable promise delightfull presence mercy father comfort redeemer delight replenisher mercy compassion deriued abundantly fulnes consolation comfort promise assured expectation delight himselfe plenarie possession,pomander smell,,
18,state heavier atmospherical air cubic inches mean pressure temperture weighing grains pungent odour irrespirable destructive flame imparting extinction bright green colour inflames skin without discolouring corroding,pungent odour,,
19,odor seems occupy intermediate place natural body odors artificial perfumes sometimes serves basis possibly fact occasional sexual influence owing ave already seen tendency sexual allurement attach odors not specific personal body odors yet related,natural body artificial specific personal body odor odors perfumes odors odors,,
20,water mouse immersed saturated putrid air changed greater part putrid air day two absorbed though mouse continues yield putrid effluvium soon fresh water becomes saturated begins offensive smell quantity putrid air upon surface increases,water air air putrid putrid offensive putrid air mouse putrid effluvium smell,,
21,vse much ornament conforting spirits sence smelling,smelling,,
22,pale yellow fragrant odour warm bitterish aromatic taste,fragrant odour,,
23,olfactory sense compared mine must stupid thing dense begin cudgelled use wont blank insensibility,sense olfactory,,
24,statement made last meeting board foul smells injurious health neighbours given premises lower queenstreet rain existsd back yards pools stagnant water,foul pools stagnant water smells,,
25,willingly yeeld stinke strong smell doth argue putrefaction vrines parts shall putrefaction,stinke strong putrefaction vrines smell,,
26,flowers valerian strong offensive first getting little drying aromatick preparations musk civet great quantity fresh stink afterwards small quantity grateful leaves coriander stink seed aromatick,strong offensive aromatick flowers valerian musk civet leaves coriander seed aromatick stink grateful stink,,
27,pale yellow greenishyellow faint agreeable odour bland oleaginous taste congeals partially fahr ° c,faint agreeable odour,,
28,putrefaction concurrs produce fetors separation volatile oyl salt acids earthy parts plants spirit soot oyly salt fetid oyly salt easily separated rine blood putrefaction,fetid putrefaction oyly salt fetors,,
29,slimy mucilage attends opiates outwardly good effect temper heat inflammations whilst effluviums narcotick abate agitation spirits,narcotick opiates effluviums,,
30,bee thou mayest call lumpe waxe clay apple because round like apple thou mayest say hath smell taste apple,apple lumpe waxe clay smell,,
31,stenches attained dignity legal topic interest act parliament become “ nuisances ” law well nature result part banished face land noses inhabitants,stenches,,
32,appears neither substances much deodorizing power mixed liquid,substances deodorizing,,
33,primitive man inclined disparage woman whose odor slight imperceptible — turning away contempt polynesian turned away ladies sydney smellsource anaphoric no smell smellword,slight imperceptible woman whose ladies sydney odor,,
34,although musk simple form ancient name lost hold europe interesting significant fact still perfumes contains musk widely popular,widely popular musk perfumes,,
35,third class opiates sweetish acrid fetid differing poppy smell cicutaria napellus,sweetish acrid fetid third class opiates cicutaria napellus smell,,
36,tide not let river either often abundantly formerly water remote ramifications stream scarcely covers mud hardly ever properly renewed stagnates putrifies,water putrifies,,
37,times scent spot fore wings replaced brush hair hind wing chalky fragrant musk may seen common canarycoloured butterflies tropics callidryas,spot musk scent fragrant,,
38,irish sea stepped train straight mailboat word remember luscious washy odour vividly bestow upon ireland white flower stenchless life,luscious washy life odour stenchless,,
39,bulbous root zedoary kind resembling shape turmerick breaks fine orangecolour fragrant smell aromatic taste,fragrant smell,,
40,appear divers herbs bottled water two months fetor produced mucilaginous mallowleaves bitter artichoakleaves narcotick exceeding fetidness henbaneleaves excoriators spurge smelling like excrements animals,like excrements animals exceeding divers herbs mucilaginous mallowleaves bitter artichoakleaves narcotick henbaneleaves excoriators spurge fetor fetidness smelling,,
41,occasions odour may concealed peppermint tobacco odours,odour,,
42,pus fibroid pyogenic cavities fetid bronchitis undergoes similar change,bronchitis fetid,,
43,ever forget bazaar smells india mingled must fust background garlic strange vices still mysterious atmospheres china deep suggestion musk,mysterious garlic strange vices deep suggestion musk smells atmospheres,,
44,means smell rest mankind commonly mean certainly mad,smell,,
45,pleasing sensation smell followed early affection infant mother suckles hence tender feelings gratitude love well hopeless grief ever joined titillation extremity lacrymal ducts profusion tears,pleasing smell,,
46,peau espagne may mentioned highly complex luxurious perfume often favorite scent sensuous persons really owes large part potency presence crude animal sexual odors musk civet,highly complex luxurious favorite animal sexual peau espagne musk civet perfume scent odors,,
47,— women would inevitably seek supplement natural defects respect accentuate odorous qualities way corsets bustles even civilization sought accentuate sexual saliencies bodies,women odorous,,
48,genera certain “ plumules clubshaped scales fringed fine hair accused possessing scent properties,plumules clubshaped scales scent,,
49,second class aromaticks bitterish aromaticks rosemary marjoram basil calamint pennyroyal bitterness adjoyned volatile oyl salt correct acids stomach cleanse lungs open obstructions glands caused coagulate serum,bitterish rosemary marjoram basil calamint pennyroyal aromaticks,,
50,perfume snuff well not enough perfume flowers must use perfumes true only perfum flowers may good perfumed perfumes mention hereafter leave every ones fancy say only smell flowers well mixt sweet precious smells stronger lasting vertue,snuff well sweet precious stronger lasting vertue flowers flowers perfumes flowers perfume perfume perfumes perfum perfumed smell smells,,
51,light watery perfection joints legs stiff body agreeable smell,agreeable body smell,,
52,strong fumes smellingsalts way inhaled great difficulty breathing alarming pain mouth nostrils,fumes strong smellingsalts,,
53,oil distilled britain chamomile flowers,chamomile flowers,,
54,spot brush yellow callidryas reproduced one satyrinse nymphalinse male blue ageronia arethusa rather strong odour emitted two large brown spots situated wings appear absent others musical genus,strong odour,,
55,cases plastic bronchitis shade also special kind lobar bronchopneumonia closely resembling fetid kind symptoms course occurring rheumatic subjects wliicli liave already referred,special kind lobar bronchopneumonia fetid,,
56,thirdly instrument smelling nigh braine man moysture doth hinder naturall complexion instrument smelling hot drie attractiue drawing vnto,smelling smelling,,
57,cleansed according foregoing directions fit take scent whatever,scent,,
58,relation hath organ likewise general doth not distinguish smells connection hath rose special constant means become almost inseparable imagination like manner thunder lightning freezing cold,smells,,
59,cannot forget intimate friend mine lilliput took freedom warm day used good deal exercise complain strong smell although little faulty way sex suppose faculty smelling nice regard mine people,strong nice smell smelling,,
60,noble man came visit us would cleanse perfume houses,perfume,,
61,oil distilled britain caraway fruit,caraway fruit,,
62,“ accordingly keen observer came conclusion setter distinguished trail others peculiar smell boots not particular scent feet body,peculiar particular boots feet body smell scent,,
63,strong bitters only pure bitters without aromatick fetid odor pungency bitterness bitter almonds centaury parts fixed strong bitters cleanse stomach acid phlegm open liver correcting coagulating acids blood mix acids pass rine preserve blood coagulation help office crude bile hydropical cachexies astriction acid earthy parts abounding bitters help oyl correcting acids,aromatick fetid pungency odor,,
64,rhubarb,rhubarb,,
65,first always foetid odour highly vinous pungent aromatic,foetid highly vinous pungent aromatic first odour,,
66,attempt made time hitchin intercept solid matter sewage series reservoirs open pits outfall new drainage works without means deodorizing arrangements precipitating straining filtering,deodorizing,,
67,intensely disagreeable fecal odor,intensely disagreeable fecal odor,,
68,russian rather dutch musk pots generally moist exhales disagreeable predominant ammoniacal smell whenever pots opened,disagreeable predominant ammoniacal russian rather dutch musk smell,,
69,concrete gummy substance strong faetid smell resembling onions rather shallots small drops tears packt forms massy lump,onions shallots strong faetid smell,,
