,Unnamed: 0,filename,sentence_id,text,labels,contains_ref,spellchecked_text,normalized_text,Unnamed: 0.1,Number
1917,1917,031E Edward Ballard 1874 The Nuisances of the Neighbourhood.txt_distribution.txt,210.0,Lawes,O,False,laws,law,,
1571,1571,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,69.0,"There is the same frequency of haemorrhage , violent cough , and other important symptoms , occun-ing in paroxysms , lasting for a week or two , but sometimes for several weeks , with the same tendency to recur for weeks or years .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"There is the same frequency of haemorrhage , violent cough , and other important symptoms , occupying in paroxysms , lasting for a week or two , but sometimes for several weeks , with the same tendency to recur for weeks or years .",frequency haemorrhage violent cough important symptom occupy paroxysm last week week tendency recur week year,,
2360,2360,058E John Charles Sawer 1894 Odorographia__1331_distribution_PER.txt,23.0,The oil is pale green .,O O O O O O,False,The oil is pale green .,oil pale green,,
2339,2339,057E Charles Lillie 1822 The British Perfumer__716_distribution_PER.txt,4.0,"This sort is frequently sold to the perfumers by pretended sailors , at so low a price as two or three shillings per ounce ; whereas , one ounce of true China musk , at sixteen shillings , is by far the cheapest , for this quantity of the true musk is as much as may be supposed to enter into the composition of a whole pound of the other .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"This sort is frequently sold to the perfumes by pretended sailors , at so low a price as two or three shillings per ounce ; whereas , one ounce of true China musk , at sixteen shillings , is by far the cheapest , for this quantity of the true musk is as much as may be supposed to enter into the composition of a whole pound of the other .",sort frequently sell perfume pretended sailor low price shilling ounce ounce true musk shilling far cheap quantity true musk suppose enter composition pound,,
330,330,003E Stephen Bradwell 1636 PHYSICK FOR THE SICKNESSE Commonly called the PLAGUE.txt_distribution.txt,169.0,Only beware of Sacietie or Glutting : For the same Hippocrates in his 17th .,O O O O O O O O O O O O O O O,False,Only beware of societies or gutting : For the same Hippocrates in his with .,beware society gutte hippocrate,,
751,751,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,35.0,"I therefore made it my business to visit those works repeatedly , and to spend some hours on the 10 promises ; I must premise by stating , that no means has yet been discovered of carrying on the process of gas-making without offensive odours .",O O O O O O O O O O O O O O O O O O O O O O B-1 O O O O O O O O O O O O O B-1 I-1 I-1 I-1 I-1 I-1 O B-1 I-1 O,True,"I therefore made it my business to visit those works repeatedly , and to spend some hours on the 10 promises ; I must premise by stating , that no means has yet been discovered of carrying on the process of gas-making without offensive odours .",business visit work repeatedly spend hour promise premise state means discover carry process gas making offensive odour,,
1298,1298,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,22.0,"In Tastes depending on a Volatile Oyl of Vegetables , ( with which is mixed a Pungent Volatile Salt ) this Oyly Salt produces either an Aromatick or Fetid Smell , and a pleasant Aromatick or Offensive Taste .",O O O O O O O O O O O O O O O O B-1 I-1 I-1 O B-1 I-1 I-1 O O O B-1 O B-1 I-1 O O O O O O O O O,True,"In Tastes depending on a Volatile oil of Vegetables , ( with which is mixed a Pungent Volatile Salt ) this only Salt produces either an aromatic or Fetid Smell , and a pleasant aromatic or Offensive Taste .",taste depend volatile oil vegetable mix pungent volatile salt salt produce aromatic fetid smell pleasant aromatic offensive taste,,
1692,1692,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,45.0,Used in preparing Spiritus Cinnamomi .,O O O O O O,False,Used in preparing Spiritus cinnamon .,prepare cinnamon,,
2717,2717,076E Henry Dodwell 1711 Incense 2__41_distribution_REL.txt,11.0,"Such as proceeds not from the Bag , bat from the Heart which is the Produaf not offinking Cattle , but perfumed Manners ; Ihich is not offered with bloody Hands , but ptre understanding ; Which is not killed that it may be deflroyed , but as Isaac was , is Sacrificed that it may live .",O O O O O O O O O O O O O O O O O O O O O B-1 I-1 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,True,"Such as proceeds not from the Bag , bat from the Heart which is the produce not offending Cattle , but perfumed Manners ; which is not offered with bloody Hands , but pure understanding ; Which is not killed that it may be destroyed , but as Isaac was , is Sacrificed that it may live .",proceed bag bat heart produce offend cattle perfumed manner offer bloody hand pure understanding kill destroy sacrifice live,,
1467,1467,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,58.0,It is in the experience of prostitutes that such a device is not in - frequent .,O O O O O O O O O O O O O O O O O,False,It is in the experience of prostitutes that such a device is not in - frequent .,experience prostitute device frequent,,
