,contains_ref,normalized_text,,,,
783,False,basement floor sleeping room shop small dark room partition stable dwelling house roof,,,,
1055,False,long pepper,,,,
1114,False,reid,,,,
387,False,likewise weather weather unseasonable season year hot cold dry contrary,,,,
1957,False,necessary inspect factory blackball reach west edith reach east,,,,
1351,True,opiate inwardly produce sweat small quantity grain fetid acrid salt run class opiate,,,,
2155,False,,,,,
2825,False,organism act protein matter economic importance distinct point view,,,,
1057,False,sound clean dry dark ash colour come short small valuable duty alike kind,,,,
29,True,country civilised savage religious festival creed occasion grief rejoice scented attraction flower plant possess important significance nature bountiful munificence scatter odoriferous treasure world cheerfulness earth happiness inhabitant,,,,
1868,False,,,,,
1061,False,appear substance greasy clot blood contain hairy small bag pod resemble cod animal weigh ounce suppose find certain animal,,,,
787,False,suggest dungheap immediately remove place wash chloride lime,,,,
676,False,cholera symptom abdominal viscera state viscera confirm spirit drinker,,,,
2506,False,largely lavender water,,,,
942,True,small aromatic reed straw colour little use,,,,
188,False,get luggage say go,,,,
170,False,boat start nice night o clock small crowded good scarcely room eat board bread drink coffee,,,,
1866,True,distance mile,,,,
43,False,way travel o clock afternoon road heavy coach slow,,,,
87,False,strange half sorrowful half delicious doze ramble place go sleep bask sun,,,,
1309,False,acrid pepper ginger acrid volatile salt oil,,,,
2348,False,blue oil float titillate remove residual water addition common salt agitate ether ether separate evaporate,,,,
282,True,beware unsavoury smell stink odour,,,,
2480,False,musk adulterate mix nutmeg mace cinnamon clove spicknard alike fine palpable powder warm blood pigeon dry sun beat moisten musk water dry repeat work time add quarter pure musk listen mixing musk water divide mass part roll hair goat grow tail,,,,
650,False,mortality month considerably average death register parish hardly healthy,,,,
2497,True,scented table pasty,,,,
1355,False,nerve narcotic fume weaken brisk expansion spirit cause wake great agitation cause pain likewise stop tumultuous motion convulsion violent motion heart pulse flux humor whatsoever eat violent contraction irritated fibre,,,,
1533,True,euiotson remark incidentally expectation smell face,,,,
2240,True,similar quantity time expose emanation camphor drawer,,,,
2347,True,The fresh flowering plant is macerated in water and left to ferment , the whole is distilled with coronation .,fresh flowering plant macerate water leave ferment distil coronation,,
149,False,see little man good humour little man face shine tooth eye look wistfully certain plot grass ask bury,,,,
507,True,socrate spake philosophy meditation death divinity manner meditation christ death darned apostle know knowledge esteemed desire know describe strange kind people mouth receive nourishment nostril sweet smell fragrant odour long journey provide great store flower sweet wood aromaticall spice starve way,,,,
2728,False,join hear nly spouse send pomegranate fruit apple cypress hard hard saffron fistula cinnamon wood mirth alor good ointment,,,,
433,False,compose verse,,,,
1395,False,rev,,,,
1999,True,character material experience similar manufacture satisfied pungent offensive give manufacture manure material enter ingredient,,,,
1476,False,drainage work complete propose add series open tank filter charcoal sand effluent water pass discharge,,,,
134,False,tonight,,,,
567,False,,,,,
1368,False,,,,,
949,False,barbarous sort sell price owe root take ground grown contract stringy quality dry string fibre syrup white sugar sell ad pound seldom sell high low,,,,
331,False,method repentance medicine prayer avert heal stroke antidote body treacle flesh earthly serpent well esteemed soul blood serpent lift cross sinner,,,,
1973,True,state material intend guano mineral phosphate sulphate ammonia,,,,
1739,False,,,,,
900,False,poor,,,,
2676,False,shape image man make man image man virtuous inclination resolute execution good purpose,,,,
767,False,death register month,,,,
1477,True,attempt time hitch intercept solid matter sewage series reservoir open pit outcall new drainage work mean deodorizing arrangement precipitating strain filtering,,,,
221,False,même hear little frenchman doubt,,,,
1831,True,Gordon recognised as giving off the odours per lived at the barracks at Woolwich when the wind is northeast , nor have I any doubt that they are one of the sources of the nuisance complained of at Plumstead village,recognise give odour live barrack wind northeast doubt source nuisance complain plumstead village,,
2867,False,shank set time extreme frost especially,,,,
2696,False,trial man,,,,
173,False,laden wool,,,,
2431,False,hawthorn work pomade small scale worth mention,,,,
1427,True,musk ox musky mole specie call musk duck plant receive name real suppose musky odor call musk plant musk rise musk hyacinth musk mallow musk orchid musk melon muskcherry musk pear musk plum musket muscatel musk seed musk tree musk wood musky odor merely widespread nature plant low animal peculiarly associate man,,,,
485,False,look man thing man thing,,,,
1259,True,answer sweet thing apply matrix regard hot expel wind cut slow tenacious phlegm purge stink thing apply nose consume ascend vapour heat demand hot stink thing good break wind lay matrix sweet thing,,,,
2476,False,,,,,
