,Unnamed: 0,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len,spellchecked_text,clean_sentence,clean_token
403,403,900,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,22,"On seizing one of these butterflies of either sex , it pushes from between the fourth and fifth segment of the abdomen two hemispherical protuberances producing a disagreeable odour ; and the male has a second pair between the fifth and sixth segments of the abdomen , while a different musk-like odour is produced by a black spot beneath the front wings .",musk-like disagreeable two hemispherical protuberances by a black spot beneath the front wings odour odour,Olfactive,Evoked\_Odorant,63,musk-like disagreeable two hemispherical protuberances by a black spot beneath the front wings odor odor,seize butterfly sex push fourth fifth segment abdomen hemispherical protuberance produce disagreeable odor male second pair fifth sixth segment abdomen different musk like odor produce black spot wing,musk like disagreeable hemispherical protuberance black spot wing odor odor
598,599,1370,085E Gervase Markham 1631 A new orchard__20_distribution_HOUS.txt,5,"I haue of them nine or ten seuerall colours , and diuers of them as big as Roses : of all flowers ( saue the Damaske Rose ) they are the most pleasant to sight and smell : they last not past three or foure yeeres vnremoued .",the most pleasant they smell,Olfactive,Quality,48,the most pleasant they smell,color diver big rose flower damask rise pleasant sight smell year unremoved,pleasant smell
138,138,293,009E Erasmus Darwin 1794 Zoonomia or the laws of organic life London 1794 ECCO TCP_MED.txt,30,"The organ of smell is irritated by this perfume , and the lacrymal sack empties itself into the nostrils , as before explained , and an increase of tears is poured into the eyes .",perfume,Olfactive,Smell\_Word,35,perfume,organ smell irritate perfume lacrymal sack empty nostril explain increase tear pour eye,perfume
294,294,689,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,59,"Niieke mentions that a colleague of his was informed by a prostitute that several of her clients desired the odor of new shoes in the room , and that she was accustomed to obtain the desired perfume by holding her shoes for a moment over the flame of a spirit lamp .",desired of new shoes odor perfume,Olfactive,Quality,52,desired of new shoes odor perfume,niece mention colleague inform prostitute client desire odor new shoe room accustom obtain desire perfume hold shoe moment flame spirit lamp,desire new shoe odor perfume
520,520,1190,067E Richardson 1910 War Police and Watch Dogs__119_distribution_LAW.txt,1,"It will be readily seen that night-time is the most favourable for the retention of scent , as evaporation does not take place so rapidly then , and this , of course , as I have shown , is why dogs are more especially useful at this time .",scent,Olfactive,Smell\_Word,49,scent,readily see nighttime favorable retention scent evaporation place rapidly course show dog especially useful time,scent
37,37,82,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,296,"The men were making manure in open vessels , and the smell in the street was so offensive , that remarks thereon were uttered by almost every passenger .",so offensive manure in open vessels smell,Olfactive,Quality,29,so offensive manure in open vessels smell,man make manure open vessel smell street offensive remark utter passenger,offensive manure open vessel smell
543,543,1238,070E Thomas Shadwell 1673 Epsom wells__16_distribution_THE.txt,13,"To have my Closet stink like a Pothecaries shop with Drugs and Medicines , to administer to my sick Neighbours ; and spoil the next Quacks practice with the receipt book that belongs to the family .",like a Pothecaries shop with Drugs and Medicines Closet stink,Olfactive,Evoked\_Odorant,37,like a apothecaries shop with Drugs and Medicines Closet stink,closet stink apothecary shop drug medicine administer sick neighbor spoil quack practice receipt book belong family,apothecary shop drug medicine stink
406,406,908,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,26,"Passing to the Burnet kind , a like incarnation of the union of night and day , the males of exotic Glaucopidae have two long retractable filaments , generally beset with hairs , on the ventral side of the abdomen , sometimes emitting a strong odour .",strong hairs odour,Olfactive,Quality,47,strong hairs odor,pass burnet kind like incarnation union night day male exotic glaucopidae long retractable filament generally beset hair ventral abdomen emit strong odor,strong hair odor
509,509,1160,065E Ernest J Parry 1925 Parry's Cyclopedia of Perfumery__1321_distribution_PER.txt,5,"It is invariably based on coumarin , modified by lavender , bergamot , and other perfumes , according to the exact note the perfumer wishes to give to his product .",other lavender bergamot perfumes,Olfactive,Quality,31,other lavender bergamot perfumes,invariably base coumarin modify lavender bergamot perfume accord exact note perfumer wish product,perfume
586,587,1344,083E Estelle D Buchanan 1913 Household bacteriology__75_distribution_HOUS.txt,12,Indol and methyl indol or skatol are commonly formed from native proteins or peptones in the absence of carbohydrates by many organisms .,Indol and methyl indol or skatol,Olfactive,Smell\_Source,23,idol and methyl idol or skatole,methyl idol skatole commonly form native protein peptone absence carbohydrate organism,methyl idol skatole
