,clean_sentence,clean_token,ref_type,original_ref_type
405,neither colour rule bear burnish talismanic impress sunlight form attain feathery etherealness day fliers antennae various organs seem fairly heavy mothlike mothlike also expansile scent pencils hair garnish hind tibiae legs many males,pencils hair scent,Olfactive,Quality
103,senna leaves,senna leaves,Olfactive,Quality
521,“ changing experiments soaked ordinary shooting boots oil aniseed walked park,oil aniseed,Olfactive,Quality
34,strong acid smell also always pervades atmosphere neighbourhood factories mixing going,atmosphere strong acid smell,Olfactive,Quality
0,enormous tropical forests little known man gathers treasures orchid greenhouses great island conservatories like java ceylon borneo rich spices lovely plant life australian bush traces plant life another world often delicate odour even fragments see greenhouses,java ceylon,Olfactive,Quality
523,“ accordingly keen observer came conclusion setter distinguished trail others peculiar smell boots not particular scent feet body,peculiar particular boots feet body smell scent,Olfactive,Quality
387,aromatic odour spicy pungent flavour leaving sensation coldness mouth,aromatic odour,Olfactive,Quality
231,panax coloni sideritis deadnettle smell galeopsis smells perceivable,deadnettle perceivable panax coloni sideritis galeopsis smell smells,Olfactive,Quality
540,opening body smell acid perceptible,perceptible acid smell,Olfactive,Quality
102,brought europe little hard ponderous pieces chips burnt reduced powder bitterish aromatic taste fragrant smell little use small quantity true would fetch high price ton would overdo market,fragrant smell,Olfactive,Quality
594,may however state enpassant subjects nose persistently even casually suggests offensive smell certain room house nursing might think gasjet not turned leaking gas soilpipes old forgotten cesspool leaking drain mention suspicions doctor responsible head house,offensive smell,Olfactive,Quality
4,hippocrates epidem saith cranon citie thessalie arose putrid vlcers pustuls carbuncles hot moyst constitution ayre,vlcers pustuls putrid,Olfactive,Quality
309,lasagne correctly remarks fetor fetid bronchitis,bronchitis fetor fetid,Olfactive,Quality
232,opiates inwardly produce sweat small quantity one two grains fetid oyly acrid salt runs classes opiates,fetid oyly acrid salt,Olfactive,Quality
214,divers bitters fetid stinking horehound eldersmells scrophularia bitterfetid stinking gums bitter well acrid fetid,fetid bitterfetid stinking acrid fetid stinking horehound scrophularia gums eldersmells,Olfactive,Quality
200,effect produced saline pungent oyl altering acids glands brain correcting attenuating lympha succus nervosus glandulous humors prone stagnation acidity aromaticks exciting motion correcting acidities thereby rendring succus nervosus volatile deserve name cephalicks not improbable volatile parts dispose medicine circulate towards brain windy liquors disturb head no part,saline oyl cephalicks pungent aromaticks,Olfactive,Quality
