,index,Unnamed: 0,sentence,potential_positives,token,eval,type,Unnamed: 5,spellchecked_text,clean_sentence,clean_token,ref_type,pred_token,prec,rec
0,623,623,"624. Caterers delivered feasts, enabling gatherings for philanthropic donors seeking opportunities.","['Caterers', 'feasts,', 'gatherings', 'donors']",feasts,1.0,"environment, people, aliment, event",,feasts,caterer deliver feast enable gathering philanthropic donor seek opportunity,feast,Olfactive,caterer deliver feast,0.3333333333333333,1.0
1,501,501,"502. Night patrols checked perimeter fences, protecting farmland from wandering wildlife.","['farmland', 'wildlife']","farmland, wildlife",1.0,"environment, nature, plant, animal",,farmland wildlife,night patrol check perimeter fence protect farmland wander wildlife,farmland wildlife,Olfactive,wander wildlife,0.5,0.5
2,269,269,"270. Street acrobats practiced flips, wowing tourists watching spontaneous urban performances","['Street acrobats', 'tourists', 'urban performances']",urban,1.0,"environment, people, event",,urban,street acrobat practice flip wow tourist watch spontaneous urban performance,urban,Olfactive,acrobat,0.0,0.0
3,127,127,"128. Surgeons led complex operations, restoring patient mobility under pressure overnight.","['Surgeons', 'operations']",operations,1.0,"environment, people, event",,operations,surgeon lead complex operation restore patient mobility pressure overnight,operation,Olfactive,complex operation restore patient mobility pressure,0.16666666666666666,1.0
4,455,455,"456. Emergency responders evacuated residents, reducing dangers from rising floodwaters regionally.","['Emergency responders', 'residents', 'floodwaters']",floodwaters,1.0,"environment, people, nature",ambigu,floodwater,emergency responder evacuate resident reduce danger rise floodwater regionally,floodwater,Olfactive,floodwater,1.0,1.0
5,366,366,"367. Amateur beekeepers collected wax, producing artisanal crafts for local craft fairs.","['beekeepers', 'wax', 'craft fairs']",wax,1.0,"people, natural product",,wax,amateur beekeeper collect wax produce artisanal craft local craft fair,wax,Olfactive,amateur beekeeper,0.0,0.0
6,13,13,14. An unexpected meteor shower illuminated farmland beneath vast midnight skies.,['farmland'],farmland,1.0,environment,,farmland,unexpected meteor shower illuminate farmland vast midnight sky,farmland,Olfactive,meteor shower,0.0,0.0
7,587,587,"588. Winemakers blended grapes, refining signature varietals served during tasting events.","['Winemakers', 'grapes,', 'tasting', 'events.']",grapes,1.0,,,grapes,winemaker blend grape refining signature varietal serve taste event,grape,Olfactive,winemaker blend grape refining signature varietal,0.16666666666666666,1.0
8,255,255,"256. Ceramic artists glazed tiles, producing mosaics enhancing interior architectural aesthetics","['Ceramic artists', 'glazed']","Ceramic, glazed",1.0,"people, material, chemical",,ceramic glazed,ceramic artist glaze tile produce mosaic enhance interior architectural aesthetic,ceramic glaze,Olfactive,ceramic artist glaze tile produce mosaic enhance interior architectural aesthetic,0.2,1.0
9,516,516,"517. Coastal rangers guarded turtles, defending hatchlings from harm during migrations.","['Coastal rangers', 'turtles', 'hatchlings']","coastal, turtles",1.0,"environment, animal, people",,coastal turtles,coastal ranger guard turtle defend hatchle harm migration,coastal turtle,Olfactive,coastal ranger guard turtle,0.5,1.0
10,337,337,"338. Cheerful buskers encouraged applause, entertaining pedestrians along busy urban avenues.","['Cheerful buskers', 'pedestrians', 'busy urban avenues']",busy urban avenues,1.0,"environment, people",,busy urban avenues,cheerful busker encourage applause entertaining pedestrian busy urban avenue,busy urban avenue,Olfactive,busker,0.0,0.0
11,403,403,"404. Animal experts compiled research, studying patterns in newly discovered species.","['Animal experts', 'species']",species,0.0,"people, animal",ambigu,species,animal expert compile research study pattern newly discover specie,specie,Olfactive,specie,1.0,1.0
12,0,0,1. A fearless diver plumbed unexplored reefs beneath gleaming tropical waves.,"['diver', 'reefs', 'waves.']",reef,1.0,"environment, people",,reef,fearless diver plumb unexplored reef gleam tropical wave,reef,Olfactive,fearless diver plumb unexplored reef gleam tropical wave,0.125,1.0
